player_ID,season,time,n_match,miss2_lay,reb_off,made2_jump,miss2_jump,assist,made3_jump,block,reb_def,foul_pers,miss1_free,made1_free,miss3_jump,turnover,sub_out,steal,made2_dunk,timeout_tv,made2_lay,timeout,reb_dead,made2_tip,miss2_dunk,miss2_tip,foul_tech
600001,2010,16310,0,3,6,2,1,7,2,0,11,21,5,4,6,6,0,7,0,0,10,0,0,0,0,0,0
600002,2010,2869,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600003,2010,41248,0,11,13,6,12,11,1,9,41,30,14,25,23,22,0,4,0,0,13,0,0,1,0,0,0
600004,2010,37232,0,5,10,8,11,6,10,6,15,34,4,15,14,11,0,6,0,0,15,0,0,0,0,0,0
600005,2010,2341,0,1,1,1,1,1,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
600006,2010,22556,0,0,4,3,7,5,22,0,17,13,3,6,30,10,0,2,0,0,1,0,0,0,0,0,0
600007,2010,68060,0,5,8,10,12,63,14,3,33,55,3,20,41,35,0,22,0,0,23,0,0,0,0,0,0
600008,2010,68874,0,8,11,18,30,18,44,1,59,44,7,33,69,16,0,13,3,0,17,0,0,0,0,0,0
600009,2010,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600010,2010,19962,0,1,0,3,3,14,1,0,15,13,2,0,5,9,0,2,0,0,2,0,0,0,0,0,0
600011,2010,75391,0,17,35,28,41,48,19,7,49,55,6,25,63,45,0,19,4,0,27,0,0,1,0,1,0
600012,2010,90101,0,22,22,3,9,35,9,1,71,72,22,25,31,53,0,18,3,0,39,0,0,0,0,0,0
600013,2010,50956,0,7,2,7,15,31,3,2,26,51,4,9,4,30,0,10,0,0,10,0,0,0,0,0,0
600014,2010,54482,0,19,16,18,29,23,23,6,67,44,16,39,52,33,0,11,1,0,40,0,0,0,0,0,0
600015,2010,1442,0,0,0,1,1,0,0,0,3,3,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0
600016,2010,22490,0,5,5,3,12,7,3,0,20,18,10,4,5,17,0,1,0,0,11,0,0,0,0,0,0
600017,2010,69600,0,0,40,0,0,0,0,0,35,0,0,0,0,21,0,0,0,121,0,104,69,0,0,0,0
600018,2010,81411,0,28,22,25,63,87,12,9,111,52,39,84,17,62,0,25,7,0,48,0,0,3,0,0,1
600019,2010,30378,0,5,19,0,5,3,0,10,20,32,6,6,0,9,0,1,0,0,7,0,0,3,0,1,0
600020,2010,9992,0,0,3,1,2,2,0,0,4,3,1,0,3,4,0,2,0,0,2,0,0,0,0,0,0
600021,2010,109621,0,47,87,11,26,47,18,7,137,89,32,97,34,65,0,39,9,0,73,0,0,5,0,0,1
600022,2010,92853,0,65,61,12,38,39,1,7,85,97,29,39,4,59,0,25,5,0,77,0,0,0,1,0,0
600023,2010,88228,0,32,11,25,45,89,42,0,47,64,19,36,96,56,0,27,0,0,32,0,0,0,0,0,2
600024,2010,99893,0,31,50,23,41,17,0,57,74,73,32,33,1,50,0,9,15,0,31,0,0,0,4,0,0
600025,2010,74163,0,5,14,10,10,25,26,0,40,34,2,4,51,22,0,12,0,0,6,0,0,0,0,0,0
600026,2010,101893,0,45,56,33,78,40,22,10,88,80,20,63,61,42,0,20,1,0,62,0,0,0,0,1,0
600027,2010,95532,0,42,65,24,43,46,14,9,102,84,39,90,25,51,0,32,4,0,72,0,0,2,0,0,0
600028,2010,96692,0,20,18,7,14,86,69,5,56,72,15,44,113,39,0,26,0,0,13,0,0,0,0,0,1
600029,2010,363,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
600030,2010,77902,0,13,22,31,43,49,33,3,59,29,13,61,50,33,0,16,0,0,13,0,0,0,0,0,0
600031,2010,21962,0,8,1,2,2,14,4,0,5,14,4,3,1,19,0,1,0,0,9,0,0,0,1,0,0
600032,2010,670,0,0,1,1,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
600033,2010,746,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
600034,2010,83397,0,0,45,0,0,0,0,0,54,0,0,0,0,6,0,0,0,181,0,96,135,0,0,0,1
600035,2010,68184,0,26,12,4,12,72,41,2,45,67,9,22,74,38,0,48,0,0,12,0,0,0,0,0,0
600036,2010,2916,0,1,3,0,1,1,0,0,0,1,0,0,4,1,0,1,0,0,2,0,0,0,0,0,0
600037,2010,55910,0,4,8,5,20,21,54,3,34,31,6,4,79,22,0,6,0,0,8,0,0,0,0,0,0
600038,2010,1720,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
600039,2010,24045,0,3,7,3,5,14,1,0,13,13,4,3,5,12,0,7,0,0,3,0,0,0,0,0,0
600040,2010,102591,0,50,86,72,99,33,0,52,136,96,45,114,5,79,0,27,27,0,58,0,0,5,6,5,3
600041,2010,81491,0,36,28,32,75,67,21,5,66,94,11,33,42,63,0,48,14,0,28,0,0,0,0,0,0
