epoch,W1_1_1,W1_1_2,W1_1_3,W1_1_4,W1_1_5,W1_1_6,W1_1_7,W1_1_8,W1_1_9,W1_1_10,W1_1_11,W1_1_12,W1_1_13,W1_1_14,W1_1_15,W1_1_16,W1_1_17,W1_1_18,W1_1_19,W1_1_20,W1_1_21,W1_1_22,W1_1_23,W1_1_24,W1_1_25,W1_1_26,W1_1_27,W1_1_28,W1_1_29,W1_1_30,W1_1_31,W1_1_32,W1_1_33,W1_1_34,W1_1_35,W1_1_36,W1_1_37,W1_1_38,W1_1_39,W1_1_40,W1_1_41,W1_1_42,b1_1,W2_1_1,b2_1,Wout_1_1,bout_1,training_acc,testing_acc
0,0.26021575927734375,-0.13180764019489288,-0.14441190659999847,-0.3214718699455261,0.3091869354248047,-0.2461809366941452,-0.16184063255786896,-0.10737845301628113,0.031046152114868164,-0.3173202574253082,-0.3178930878639221,0.2733996510505676,0.0441226065158844,-0.36656442284584045,-0.3234790861606598,-0.001685023307800293,-0.1502351611852646,0.23118042945861816,0.1184120774269104,-0.013789474964141846,-0.26020509004592896,0.0679980218410492,-0.12370987236499786,-0.25762608647346497,-0.19013972580432892,-0.26935863494873047,0.3637900948524475,0.30114471912384033,-0.2598295211791992,-0.3563717007637024,0.21988004446029663,0.12568485736846924,0.1959913969039917,0.34169644117355347,0.23426759243011475,-0.21828323602676392,0.27338868379592896,-0.2977743148803711,-0.20433059334754944,-0.3498408794403076,-0.23449797928333282,-0.05218750238418579,1.0,1.2065709829330444,1.0,1.2065709829330444,1.0,0.5002368,0.4970688
1,0.14689259231090546,-0.25600525736808777,-0.23528775572776794,-0.44968634843826294,0.23235180974006653,-0.35057324171066284,-0.20687660574913025,-0.24269884824752808,-0.1996305137872696,-0.4446122646331787,-0.3977084755897522,0.1425800770521164,-0.14929834008216858,-0.4595935642719269,-0.3337794840335846,-0.12064346671104431,-0.15081940591335297,0.1911548227071762,0.08418132364749908,-0.03375425562262535,-0.2866758704185486,-0.06640549004077911,-0.34577476978302,-0.410019189119339,-0.34130042791366577,-0.5061215758323669,0.17027199268341064,0.15784412622451782,-0.5359281897544861,-0.5786547064781189,0.04432477429509163,-0.10609301924705505,0.03683297708630562,0.152474045753479,0.029896950349211693,-0.37413057684898376,0.05470027029514313,-0.2979606091976166,-0.3115246593952179,-0.4399234354496002,-0.31122010946273804,-0.08002329617738724,0.6217986941337585,0.4368041455745697,-1.9587458372116089,0.05932087451219559,-0.4322737753391266,0.49976316,0.5029312
2,0.143588125705719,-0.25321143865585327,-0.2339296042919159,-0.4528823494911194,0.24422645568847656,-0.3461918532848358,-0.20090989768505096,-0.23542985320091248,-0.2076701670885086,-0.44284746050834656,-0.3892604112625122,0.1409757286310196,-0.15641537308692932,-0.4541114866733551,-0.3234362006187439,-0.11571906507015228,-0.15086370706558228,0.19283662736415863,0.08791042864322662,-0.032122641801834106,-0.2880137264728546,-0.07261078804731369,-0.36246973276138306,-0.42053455114364624,-0.34862157702445984,-0.5293960571289062,0.1556539237499237,0.14381949603557587,-0.5581765174865723,-0.5867090821266174,0.0316779688000679,-0.1268904209136963,0.028237443417310715,0.14564411342144012,0.012837898917496204,-0.39209023118019104,0.036910977214574814,-0.2979167103767395,-0.3205568492412567,-0.44795623421669006,-0.31728264689445496,-0.08155310153961182,0.6087341904640198,0.4046095907688141,-2.4408631324768066,0.1075548455119133,-0.43284204602241516,0.49976316,0.5029312
3,0.14378872513771057,-0.24640975892543793,-0.229702427983284,-0.45205917954444885,0.25892117619514465,-0.33831995725631714,-0.19331741333007812,-0.22379493713378906,-0.20855893194675446,-0.4369659125804901,-0.3781062960624695,0.14368247985839844,-0.15750953555107117,-0.4454333186149597,-0.31251272559165955,-0.10697232931852341,-0.1508934497833252,0.19579967856407166,0.09277262538671494,-0.029901692643761635,-0.2884502112865448,-0.07480179518461227,-0.37267738580703735,-0.42648017406463623,-0.351364403963089,-0.5455712080001831,0.14693884551525116,0.13397091627120972,-0.5723170042037964,-0.5878992080688477,0.024277037009596825,-0.1408783197402954,0.02460317127406597,0.14465458691120148,0.0018117250874638557,-0.4056394100189209,0.025629589334130287,-0.2978646755218506,-0.3264763653278351,-0.4534246325492859,-0.3212409019470215,-0.08216255158185959,0.6075602769851685,0.4053352177143097,-2.696028709411621,0.1515994369983673,-0.43365511298179626,0.49976316,0.5029312
4,0.1458093672990799,-0.2365700602531433,-0.22339582443237305,-0.4490585923194885,0.2771857976913452,-0.3275255262851715,-0.1837785840034485,-0.20825478434562683,-0.20593532919883728,-0.4281153678894043,-0.3639431893825531,0.14899073541164398,-0.15567836165428162,-0.43385252356529236,-0.29968976974487305,-0.09501896798610687,-0.15092048048973083,0.19984449446201324,0.09893385320901871,-0.027059679850935936,-0.2884844243526459,-0.07526519894599915,-0.3810444176197052,-0.43094998598098755,-0.3521651029586792,-0.5604249835014343,0.14000196754932404,0.12484084814786911,-0.5843548774719238,-0.5857364535331726,0.018495578318834305,-0.1534072309732437,0.022988447919487953,0.1465167999267578,-0.007714301347732544,-0.41888973116874695,0.016055965796113014,-0.29780420660972595,-0.33165988326072693,-0.4583756625652313,-0.32470038533210754,-0.08237950503826141,0.6123335361480713,0.42371734976768494,-2.867232322692871,0.20000407099723816,-0.4348369836807251,0.49976316,0.5029312
5,0.1499021202325821,-0.2222951501607895,-0.21413670480251312,-0.44348129630088806,0.3016495704650879,-0.3123031556606293,-0.170906662940979,-0.18660737574100494,-0.1995164006948471,-0.41504335403442383,-0.3447456955909729,0.15760153532028198,-0.15071865916252136,-0.4177163541316986,-0.283083975315094,-0.07818391174077988,-0.15094499289989471,0.20554901659488678,0.10729294270277023,-0.023186780512332916,-0.2881408929824829,-0.07411589473485947,-0.38884034752845764,-0.4346338212490082,-0.3511820137500763,-0.576183021068573,0.13377447426319122,0.1150818020105362,-0.5961068272590637,-0.5799657106399536,0.013444192707538605,-0.16636544466018677,0.023096829652786255,0.15143923461437225,-0.01717233844101429,-0.4337996244430542,0.006741746794432402,-0.29773420095443726,-0.33687564730644226,-0.4635520577430725,-0.3281698226928711,-0.08224406093358994,0.6236042380332947,0.460518479347229,-2.99283766746521,0.25998321175575256,-0.43662574887275696,0.49976316,0.5029312
6,0.15776033699512482,-0.199244886636734,-0.19909723103046417,-0.4331555664539337,0.33886536955833435,-0.2883051633834839,-0.15115483105182648,-0.15267765522003174,-0.18638217449188232,-0.39368411898612976,-0.315227746963501,0.17241708934307098,-0.14021001756191254,-0.39241865277290344,-0.2584410607814789,-0.05161278322339058,-0.15097014605998993,0.21457338333129883,0.12017101794481277,-0.017201971262693405,-0.2871764302253723,-0.07030501961708069,-0.3966526687145233,-0.43752148747444153,-0.347271203994751,-0.595343291759491,0.12787364423274994,0.1031724289059639,-0.6088383197784424,-0.5677913427352905,0.00892781000584364,-0.18160033226013184,0.025894392281770706,0.16177530586719513,-0.027672179043293,-0.45313817262649536,-0.0033059334382414818,-0.29764410853385925,-0.3427813947200775,-0.4697033166885376,-0.3320716917514801,-0.08153461664915085,0.646482527256012,0.5270155072212219,-3.0849106311798096,0.345432311296463,-0.43970972299575806,0.49976316,0.5029312
7,0.1767120212316513,-0.1499297171831131,-0.1669338196516037,-0.40873533487319946,0.41395723819732666,-0.2385263741016388,-0.11065495014190674,-0.08215485513210297,-0.15361860394477844,-0.3475148379802704,-0.2548348009586334,0.20531901717185974,-0.11318087577819824,-0.33986717462539673,-0.20969818532466888,0.0038326752837747335,-0.1509706825017929,0.23347704112529755,0.14659489691257477,-0.004875883460044861,-0.2844921350479126,-0.05880114808678627,-0.40455514192581177,-0.4380139410495758,-0.3346114456653595,-0.6250743865966797,0.12259194999933243,0.08491172641515732,-0.6247013211250305,-0.5365612506866455,0.005886363331228495,-0.20388267934322357,0.036348387598991394,0.18804685771465302,-0.041453614830970764,-0.48574358224868774,-0.015780244022607803,-0.29747557640075684,-0.35082677006721497,-0.47872230410575867,-0.3372565805912018,-0.07912074029445648,0.7034343481063843,0.672615647315979,-3.1305525302886963,0.5051695704460144,-0.44735902547836304,0.49976316,0.5029312
8,-0.06485719978809357,0.4970972239971161,0.14470909535884857,-0.39873185753822327,1.6598701477050781,0.4379018545150757,0.6960824131965637,0.9540085792541504,-0.29952776432037354,0.22387592494487762,0.6960859894752502,0.39328572154045105,-0.2514117658138275,0.34478119015693665,0.728288471698761,0.5820914506912231,-0.13977894186973572,0.44705668091773987,0.5552974939346313,0.20882412791252136,-0.4088127315044403,-0.012542691081762314,-0.9248030185699463,-0.44526591897010803,0.024484116584062576,-1.7434107065200806,-0.6587749123573303,-0.46366220712661743,-1.4833613634109497,-0.20433075726032257,-0.23707044124603271,-1.1243371963500977,-0.25944995880126953,0.6027318835258484,-0.7280001640319824,-1.430537462234497,-0.6163275241851807,-0.28418347239494324,-0.7227023839950562,-0.6731685400009155,-0.5952749252319336,-0.0026177428662776947,0.894156813621521,3.3951032161712646,-2.252589702606201,2.324312210083008,-1.0308911800384521,0.54947275,0.5439679
9,-2.547926664352417,1.262094497680664,0.6094721555709839,-1.9814859628677368,3.6730477809906006,1.680248737335205,1.822314977645874,2.0078682899475098,-1.7271150350570679,0.3624849021434784,2.897643566131592,-0.4905523359775543,-3.605257511138916,1.373664140701294,2.6848628520965576,0.9037466049194336,-0.16383573412895203,0.5337307453155518,0.5111481547355652,0.620488166809082,-1.258154273033142,2.1407618522644043,-1.5682804584503174,-0.3355514407157898,1.854203224182129,-4.23373556137085,-1.870704174041748,-1.496216893196106,-2.64351487159729,1.4561138153076172,0.06712405383586884,-2.846680164337158,0.43973541259765625,3.9063844680786133,-1.4199719429016113,-3.36381459236145,-1.0623923540115356,-0.2618698179721832,-0.9456042647361755,-0.6275110244750977,-0.6051905751228333,0.46731865406036377,0.6652337908744812,4.652615547180176,-2.6342926025390625,2.1840546131134033,-1.1535804271697998,0.6218433,0.61493367
10,-3.54880690574646,1.7464361190795898,0.9041804075241089,-2.713902473449707,4.390542984008789,2.180607557296753,2.086231231689453,2.3079993724823,-2.009887933731079,0.5238919854164124,3.9189748764038086,-1.037149429321289,-4.627138137817383,1.718355655670166,3.1137304306030273,1.2117255926132202,-0.18696512281894684,0.344424307346344,0.36134013533592224,0.8059612512588501,-1.7749669551849365,3.033207893371582,-1.9694936275482178,-0.48925915360450745,2.4392569065093994,-4.988823413848877,-2.175398826599121,-1.8518182039260864,-3.1054868698120117,1.9337947368621826,0.13474775850772858,-3.7317445278167725,0.8967503905296326,4.978387355804443,-1.7271761894226074,-3.879457712173462,-1.3278660774230957,-0.24787555634975433,-0.9236615300178528,-0.5618959665298462,-0.5532709956169128,0.702942967414856,0.5616607069969177,4.402878284454346,-2.6054890155792236,2.2077159881591797,-1.1845701932907104,0.6245357,0.61678493
11,-4.201237201690674,2.107668399810791,1.121054768562317,-3.2208592891693115,4.819137096405029,2.536031723022461,2.228184700012207,2.4772586822509766,-2.157759666442871,0.5893226861953735,4.540838718414307,-1.4190008640289307,-5.1877264976501465,1.91704523563385,3.3680167198181152,1.4083811044692993,-0.2062588930130005,0.18130776286125183,0.33597949147224426,0.9829972982406616,-2.1629281044006348,3.5749356746673584,-2.2595040798187256,-0.5983010530471802,2.8143720626831055,-5.407542705535889,-2.3983476161956787,-2.0688931941986084,-3.3827309608459473,2.1802914142608643,0.19894324243068695,-4.273621559143066,1.142395257949829,5.579931259155273,-1.935741662979126,-4.186183929443359,-1.5104013681411743,-0.2320331186056137,-0.9105163812637329,-0.5329301953315735,-0.5482413172721863,0.8470975160598755,0.5010324716567993,4.180312633514404,-2.4825992584228516,2.2345473766326904,-1.2087825536727905,0.6255578,0.6180191
12,-4.677779197692871,2.387930154800415,1.3052477836608887,-3.6062800884246826,5.122687339782715,2.8135573863983154,2.3264503479003906,2.594212055206299,-2.2670795917510986,0.6146812438964844,4.977616786956787,-1.7121812105178833,-5.561478614807129,2.0585927963256836,3.548872709274292,1.5526551008224487,-0.2215588390827179,0.03699767589569092,0.34798452258110046,1.1456730365753174,-2.4689059257507324,3.9619171619415283,-2.4812164306640625,-0.6876199245452881,3.0928595066070557,-5.6888298988342285,-2.5670976638793945,-2.2225446701049805,-3.5664398670196533,2.3393867015838623,0.2447933554649353,-4.653710842132568,1.3098162412643433,5.986753940582275,-2.0903005599975586,-4.408339023590088,-1.6470799446105957,-0.2155224233865738,-0.9014859199523926,-0.5125319957733154,-0.5557199716567993,0.9495329260826111,0.4628576338291168,4.036899089813232,-2.396108388900757,2.2486536502838135,-1.2226684093475342,0.62643033,0.617402
13,-5.046600341796875,2.614854335784912,1.4677891731262207,-3.916095495223999,5.352999210357666,3.040294647216797,2.4039411544799805,2.6821584701538086,-2.356816291809082,0.6229766607284546,5.306339740753174,-1.946812391281128,-5.8349504470825195,2.168797492980957,3.686875581741333,1.6660380363464355,-0.2338205724954605,-0.09309098869562149,0.3721007704734802,1.2942956686019897,-2.7202892303466797,4.258886814117432,-2.6598756313323975,-0.7645775675773621,3.313507556915283,-5.897484302520752,-2.702068328857422,-2.3393919467926025,-3.6970505714416504,2.455456495285034,0.2780607044696808,-4.939917087554932,1.4353049993515015,6.287937641143799,-2.210880994796753,-4.584100723266602,-1.755760908126831,-0.1990448534488678,-0.8943421840667725,-0.49687978625297546,-0.5680615901947021,1.0301984548568726,0.4400240480899811,3.945340156555176,-2.346128225326538,2.254502058029175,-1.228417158126831,0.6268043,0.61678493
14,-5.3434858322143555,2.8035049438476562,1.6130294799804688,-4.174821853637695,5.535168647766113,3.2304868698120117,2.4699742794036865,2.7512214183807373,-2.4342756271362305,0.6238337159156799,5.564380168914795,-2.1397974491119385,-6.0460920333862305,2.2586116790771484,3.7967851161956787,1.7586400508880615,-0.24379980564117432,-0.2112704962491989,0.3996918499469757,1.4301303625106812,-2.9329187870025635,4.495750904083252,-2.8089184761047363,-0.8325842618942261,3.4953980445861816,-6.061431407928467,-2.814195156097412,-2.4319052696228027,-3.7950901985168457,2.545712947845459,0.30293384194374084,-5.165135860443115,1.5341547727584839,6.523151874542236,-2.3082363605499268,-4.729953765869141,-1.8456767797470093,-0.18282437324523926,-0.8877154588699341,-0.4847753345966339,-0.5823516845703125,1.097255825996399,0.42701098322868347,3.88314151763916,-2.3167002201080322,2.2563207149505615,-1.2297205924987793,0.6268541,0.6170935
15,-5.589416027069092,2.9632484912872314,1.7437233924865723,-4.396826267242432,5.683538436889648,3.392845392227173,2.528801441192627,2.806912899017334,-2.5031306743621826,0.6217225193977356,5.773003101348877,-2.301635265350342,-6.214859962463379,2.333951711654663,3.886772394180298,1.8362987041473389,-0.2520288825035095,-0.3188445270061493,0.42748528718948364,1.5543863773345947,-3.1163995265960693,4.689633846282959,-2.935908079147339,-0.8937073349952698,3.64953351020813,-6.195235252380371,-2.9097025394439697,-2.5070807933807373,-3.8717041015625,2.6186060905456543,0.32201990485191345,-5.348026275634766,1.6145960092544556,6.7136969566345215,-2.388615131378174,-4.85464334487915,-1.9220036268234253,-0.16690488159656525,-0.8809980154037476,-0.4753846824169159,-0.5970583558082581,1.1544880867004395,0.4201635420322418,3.837989568710327,-2.298060655593872,2.256382942199707,-1.2288753986358643,0.62705356,0.61678493
16,-5.797489166259766,3.1004467010498047,1.862021803855896,-4.590938091278076,5.807031631469727,3.5332727432250977,2.5824851989746094,2.852731943130493,-2.5654449462890625,0.6188152432441711,5.945572853088379,-2.4394054412841797,-6.3532185554504395,2.3984954357147217,3.9616785049438477,1.9026044607162476,-0.25889134407043457,-0.4166926145553589,0.45418766140937805,1.6682416200637817,-3.2769277095794678,4.851321697235107,-3.045494556427002,-0.949369490146637,3.782902717590332,-6.307487487792969,-2.992495059967041,-2.5692391395568848,-3.933443784713745,2.6790525913238525,0.3370778560638428,-5.499992847442627,1.68177330493927,6.872125148773193,-2.456110715866089,-4.9632182121276855,-1.9878689050674438,-0.15127477049827576,-0.8740916848182678,-0.46807828545570374,-0.6113907694816589,1.2039858102798462,0.4172481596469879,3.8034141063690186,-2.285393476486206,2.255746841430664,-1.2270548343658447,0.6270037,0.617402
