epoch,W1_1_1,W1_2_1,W1_1_2,W1_2_2,W1_1_3,W1_2_3,W1_1_4,W1_2_4,W1_1_5,W1_2_5,W1_1_6,W1_2_6,W1_1_7,W1_2_7,W1_1_8,W1_2_8,W1_1_9,W1_2_9,W1_1_10,W1_2_10,W1_1_11,W1_2_11,W1_1_12,W1_2_12,W1_1_13,W1_2_13,W1_1_14,W1_2_14,W1_1_15,W1_2_15,W1_1_16,W1_2_16,W1_1_17,W1_2_17,W1_1_18,W1_2_18,W1_1_19,W1_2_19,W1_1_20,W1_2_20,W1_1_21,W1_2_21,W1_1_22,W1_2_22,W1_1_23,W1_2_23,W1_1_24,W1_2_24,W1_1_25,W1_2_25,W1_1_26,W1_2_26,W1_1_27,W1_2_27,W1_1_28,W1_2_28,W1_1_29,W1_2_29,W1_1_30,W1_2_30,W1_1_31,W1_2_31,W1_1_32,W1_2_32,W1_1_33,W1_2_33,W1_1_34,W1_2_34,W1_1_35,W1_2_35,W1_1_36,W1_2_36,W1_1_37,W1_2_37,W1_1_38,W1_2_38,W1_1_39,W1_2_39,W1_1_40,W1_2_40,W1_1_41,W1_2_41,W1_1_42,W1_2_42,b1_1,b1_2,W2_1_1,W2_2_1,W2_1_2,W2_2_2,b2_1,b2_2,Wout_1_1,Wout_1_2,bout_1,training_acc,testing_acc
0,0.25724175572395325,-0.13030120730400085,-0.14276142418384552,-0.31779778003692627,0.30565330386161804,-0.24336734414100647,-0.15999096632003784,-0.10615122318267822,0.030691325664520264,-0.3136936128139496,-0.31425991654396057,0.27027496695518494,0.04361832141876221,-0.3623749613761902,-0.3197820782661438,-0.001665741205215454,-0.1485181301832199,0.22853824496269226,0.11705875396728516,-0.013631880283355713,-0.257231205701828,0.06722086668014526,-0.12229600548744202,-0.25468170642852783,-0.18796662986278534,-0.2662801444530487,0.3596324026584625,0.29770293831825256,-0.2568599283695221,-0.352298766374588,0.21736708283424377,0.12424841523170471,0.19375142455101013,0.33779123425483704,0.2315901219844818,-0.21578848361968994,0.2702641189098358,-0.2943710684776306,-0.20199531316757202,-0.345842570066452,-0.23181791603565216,-0.05159103870391846,-0.2802785634994507,-0.18944616615772247,-0.10529336333274841,-0.22574540972709656,-0.2275029867887497,-0.1548321545124054,0.24799510836601257,0.31615331768989563,0.24433597922325134,-0.32620471715927124,-0.1418396234512329,0.30473026633262634,-0.07728826999664307,0.21175774931907654,-0.08179187774658203,-0.29805710911750793,0.10306254029273987,0.12346494197845459,0.2068636119365692,0.037084996700286865,0.056018680334091187,-0.029287219047546387,0.03004208207130432,0.036369144916534424,-0.2087954878807068,0.1016230583190918,-0.013321340084075928,-0.34870198369026184,0.33529409766197205,0.31594863533973694,0.22035107016563416,0.15547248721122742,0.23849186301231384,0.15006008744239807,-0.06168848276138306,-0.2975146174430847,0.307735413312912,-0.0323866605758667,-0.24430964887142181,-0.143733412027359,0.08577615022659302,0.01426243782043457,1.0,1.0,0.8531745672225952,-0.43216025829315186,-0.47348612546920776,-1.05401611328125,1.0,1.0,0.9851609468460083,-0.4990156292915344,1.0,0.5002368,0.4970688
1,-0.49585604667663574,-1.5374979972839355,0.33043918013572693,0.6520025134086609,0.4405890703201294,0.060310203582048416,-0.6096951365470886,-0.9009873867034912,1.3080421686172485,2.0002923011779785,0.31656453013420105,1.4615519046783447,0.7799902558326721,1.0695289373397827,0.5738688111305237,1.6700639724731445,-0.8689684867858887,-1.0366451740264893,0.29553085565567017,0.3298889398574829,0.7367095351219177,1.9163141250610352,-0.25419852137565613,-0.49046435952186584,-1.2258461713790894,-2.1319189071655273,0.8194060325622559,1.1883080005645752,0.878582775592804,1.7516157627105713,0.455155611038208,0.5605760812759399,0.1902083158493042,0.3313799202442169,0.48683640360832214,0.27515700459480286,0.5686131119728088,0.29763439297676086,0.03678428754210472,0.11553104966878891,-0.5046764612197876,-0.5738019943237305,0.22007399797439575,0.9304389953613281,-0.7520866990089417,-1.1351336240768433,-0.4215063452720642,-0.2903100550174713,0.5902204513549805,1.213735818862915,-1.281846046447754,-2.8396520614624023,-1.0934498310089111,-1.2958120107650757,-0.8728467226028442,-1.1107640266418457,-1.105001449584961,-1.9183096885681152,0.4188305139541626,1.0147675275802612,-0.032744649797677994,-0.17234742641448975,-0.9435593485832214,-1.63985013961792,-0.16600188612937927,-0.15097735822200775,0.5795302987098694,1.9191582202911377,-0.6646187901496887,-1.2066644430160522,-1.0711894035339355,-2.120321273803711,-0.29031041264533997,-0.5836400985717773,0.23881857097148895,0.14936798810958862,-0.4996468126773834,-0.9250266551971436,-0.10190242528915405,-0.6713873744010925,-0.538528323173523,-0.5662709474563599,0.18106281757354736,0.2611861824989319,0.42759230732917786,0.2623741030693054,-0.574061393737793,-1.9417904615402222,-2.460524559020996,-3.4656131267547607,-0.5120247006416321,1.0942503213882446,-1.4955790042877197,-2.3974270820617676,0.968337893486023,0.6139656,0.61277384
2,-1.2604179382324219,-2.9276552200317383,0.6229903697967529,1.211957335472107,0.6060712933540344,0.45456764101982117,-1.1935721635818481,-1.8785250186920166,2.114305019378662,3.3177642822265625,0.6796137094497681,2.033445358276367,1.0935416221618652,1.6805484294891357,0.9647213816642761,2.2198331356048584,-1.1457539796829224,-1.654401183128357,0.35905158519744873,0.35981428623199463,1.4757938385009766,3.18754506111145,-0.5462645292282104,-1.147625207901001,-2.1132349967956543,-3.811375617980957,0.9913710355758667,1.428311824798584,1.3433881998062134,2.56439208984375,0.6912218332290649,0.9269974231719971,0.16839967668056488,0.2896314859390259,0.5096303224563599,0.28644421696662903,0.4966830909252167,0.1798963099718094,0.21351639926433563,0.44609907269477844,-0.7892664670944214,-1.1224675178527832,1.0310221910476685,2.3375964164733887,-1.033478021621704,-1.5117136240005493,-0.6092697381973267,-0.4423556923866272,1.0290157794952393,2.1292624473571777,-2.070620059967041,-4.069995880126953,-1.3514999151229858,-1.6711499691009521,-1.133885145187378,-1.4140316247940063,-1.4854182004928589,-2.433340311050415,0.7425297498703003,1.5238869190216064,-0.0168493390083313,-0.07486866414546967,-1.634549856185913,-2.771432638168335,0.23640495538711548,0.5864317417144775,1.6541935205459595,3.935527801513672,-0.8889043927192688,-1.4153811931610107,-1.7048368453979492,-3.010284185409546,-0.49861568212509155,-0.9549812078475952,0.23870830237865448,0.1347237229347229,-0.4887414872646332,-0.7591700553894043,-0.04977850988507271,-0.5500954985618591,-0.5227184891700745,-0.3542438745498657,0.3189122676849365,0.5136556625366211,0.053739454597234726,-0.4598446786403656,-0.9806563258171082,-2.2652318477630615,-2.9010491371154785,-3.511262893676758,-0.6928893327713013,1.0561949014663696,-1.9562437534332275,-2.2040507793426514,0.8549650311470032,0.62535834,0.6177106
3,-1.7302943468093872,-3.6641018390655518,0.7878033518791199,1.6140050888061523,0.7265931367874146,0.7423329949378967,-1.5907388925552368,-2.383530855178833,2.528508424758911,3.848184823989868,0.9658246040344238,2.3616671562194824,1.2040729522705078,1.9296989440917969,1.144112229347229,2.420217514038086,-1.1798560619354248,-1.8029334545135498,0.390076607465744,0.4313461482524872,1.901788592338562,3.88431453704834,-0.6846786737442017,-1.5447193384170532,-2.5403919219970703,-4.497175216674805,1.147452712059021,1.5820940732955933,1.5403369665145874,2.8748834133148193,0.8541838526725769,1.1536983251571655,0.14718733727931976,0.2536371350288391,0.442106693983078,0.1905604898929596,0.4588027000427246,0.14860746264457703,0.31885188817977905,0.6546885967254639,-0.9853174090385437,-1.4970624446868896,1.4945015907287598,2.9918041229248047,-1.2909519672393799,-1.717796802520752,-0.7715761661529541,-0.5381120443344116,1.276482105255127,2.600208282470703,-2.4479787349700928,-4.615883827209473,-1.5149561166763306,-1.9015588760375977,-1.3535517454147339,-1.490485429763794,-1.7515941858291626,-2.6448326110839844,0.9033263921737671,1.7184752225875854,-0.02980940043926239,-0.030894193798303604,-2.1016907691955566,-3.35444974899292,0.47443410754203796,0.8837592601776123,2.2190418243408203,4.76457405090332,-1.0670055150985718,-1.5823802947998047,-2.0919950008392334,-3.3232944011688232,-0.6657506227493286,-1.2071086168289185,0.23920267820358276,0.12150976806879044,-0.5453104376792908,-0.6410465240478516,-0.03203810751438141,-0.5097359418869019,-0.5964389443397522,-0.2836874723434448,0.3952442705631256,0.6423472166061401,-0.0763508751988411,-0.7734328508377075,-1.3279517889022827,-2.4039952754974365,-3.133085250854492,-3.0098702907562256,-0.7888415455818176,0.9357566833496094,-2.2768502235412598,-2.161501407623291,0.8274836540222168,0.62650514,0.62017894
4,-2.073695659637451,-4.203866958618164,0.8866549730300903,1.9302500486373901,0.7970883250236511,0.9893103837966919,-1.9592381715774536,-2.7075014114379883,2.7718799114227295,4.226660251617432,1.2423410415649414,2.575037956237793,1.2194215059280396,2.150695323944092,1.2453460693359375,2.5749478340148926,-1.1771564483642578,-1.8865478038787842,0.39155668020248413,0.5238556861877441,2.1827690601348877,4.353121757507324,-0.7399852275848389,-1.8822530508041382,-2.877429723739624,-4.891892910003662,1.2928454875946045,1.706982970237732,1.6558250188827515,3.1496639251708984,0.9846110939979553,1.3111765384674072,0.13006743788719177,0.22222183644771576,0.3350045084953308,0.14636124670505524,0.4836711883544922,0.1562678962945938,0.40756741166114807,0.8479834794998169,-1.1407098770141602,-1.782439947128296,1.8233489990234375,3.458386182785034,-1.598892092704773,-1.7960240840911865,-0.8924975991249084,-0.625228762626648,1.4744231700897217,2.936020612716675,-2.7008883953094482,-4.952203273773193,-1.6498464345932007,-2.0786375999450684,-1.6075198650360107,-1.4583027362823486,-2.0150694847106934,-2.71622371673584,1.0274471044540405,1.870648980140686,-0.03426222875714302,0.009375078603625298,-2.480867385864258,-3.7205870151519775,0.6586066484451294,1.071202039718628,2.6459059715270996,5.249795436859131,-1.2193282842636108,-1.6869834661483765,-2.4585671424865723,-3.4701735973358154,-0.8082712888717651,-1.3739118576049805,0.24223147332668304,0.11001014709472656,-0.6886849403381348,-0.4998425245285034,-0.03044925630092621,-0.4744037985801697,-0.7218624949455261,-0.23057317733764648,0.4389594793319702,0.7280198335647583,-0.020291665568947792,-0.9083787202835083,-1.6653163433074951,-2.733182907104492,-3.402113914489746,-2.343465805053711,-0.9070380330085754,1.149033784866333,-2.5292603969573975,-2.134777545928955,0.8820933699607849,0.6284995,0.620796
5,-2.3864474296569824,-4.627580642700195,0.973054051399231,2.189176321029663,0.8687552809715271,1.2132599353790283,-2.308687210083008,-2.938427448272705,2.961061716079712,4.550968170166016,1.5312787294387817,2.705188035964966,1.1977519989013672,2.3603274822235107,1.3309812545776367,2.7463297843933105,-1.1841439008712769,-1.9596004486083984,0.3940407335758209,0.6360468864440918,2.414100408554077,4.706501007080078,-0.73415207862854,-2.2169370651245117,-3.2222647666931152,-5.173232555389404,1.4842296838760376,1.7944692373275757,1.7732518911361694,3.415163278579712,1.0888960361480713,1.4365137815475464,0.11811600625514984,0.19236333668231964,0.21272410452365875,0.146034836769104,0.5614913105964661,0.1678098738193512,0.5092564821243286,1.0103213787078857,-1.2898067235946655,-1.995189905166626,2.104726552963257,3.837772846221924,-1.922434687614441,-1.8283168077468872,-0.956360936164856,-0.7491171956062317,1.7101199626922607,3.1807758808135986,-2.9840645790100098,-5.198520660400391,-1.8209260702133179,-2.2039504051208496,-1.8611960411071777,-1.3901267051696777,-2.289726495742798,-2.7140774726867676,1.1602370738983154,1.9888862371444702,-0.004050052259117365,0.024613291025161743,-2.8408095836639404,-3.9847307205200195,0.8002654910087585,1.230307698249817,3.076220989227295,5.559956073760986,-1.3771439790725708,-1.7542284727096558,-2.8262083530426025,-3.560410976409912,-0.9477729201316833,-1.5048729181289673,0.24839933216571808,0.09902507066726685,-0.8738656640052795,-0.3611733019351959,-0.01617635414004326,-0.4354867935180664,-0.8609292507171631,-0.17738988995552063,0.4623788595199585,0.8061132431030273,0.19138193130493164,-1.0194391012191772,-1.9381513595581055,-3.248811721801758,-3.812528133392334,-1.979534387588501,-0.9696841239929199,1.4885979890823364,-2.7717533111572266,-2.1114466190338135,0.9456525444984436,0.62989557,0.6211046
6,-2.6786179542541504,-4.9598002433776855,1.0557024478912354,2.377486228942871,0.960923969745636,1.4078001976013184,-2.611629009246826,-3.126885414123535,3.107072591781616,4.855597972869873,1.7777701616287231,2.8164517879486084,1.1929455995559692,2.5289506912231445,1.4144352674484253,2.903036594390869,-1.2388805150985718,-2.0263278484344482,0.4024892747402191,0.7172569036483765,2.620256185531616,4.994006156921387,-0.7332432866096497,-2.510685682296753,-3.5675623416900635,-5.389118671417236,1.68857741355896,1.8662751913070679,1.918061375617981,3.6178107261657715,1.1775789260864258,1.5398916006088257,0.113231360912323,0.16286064684391022,0.10657282173633575,0.1562434881925583,0.6513611674308777,0.1598779857158661,0.6221258044242859,1.1341537237167358,-1.4258581399917603,-2.1687967777252197,2.365993022918701,4.162528991699219,-2.166912794113159,-1.8850727081298828,-0.9733729362487793,-0.8936971426010132,1.9875271320343018,3.3490257263183594,-3.312525749206543,-5.384345054626465,-2.062429666519165,-2.2558982372283936,-2.0396032333374023,-1.357251763343811,-2.5268940925598145,-2.693300247192383,1.284778118133545,2.067333936691284,0.07662240415811539,0.003778959857299924,-3.1690776348114014,-4.205371856689453,0.8587797284126282,1.3982163667678833,3.4839818477630615,5.770381450653076,-1.5403475761413574,-1.7928766012191772,-3.113593339920044,-3.6805155277252197,-1.052765965461731,-1.6164555549621582,0.25656676292419434,0.08945418894290924,-1.0080375671386719,-0.272714227437973,0.04256581515073776,-0.4212098717689514,-0.9560370445251465,-0.15029224753379822,0.47720131278038025,0.8768929839134216,0.40452396869659424,-1.1549067497253418,-2.201613187789917,-3.6576483249664307,-4.2859697341918945,-1.862005591392517,-1.0192888975143433,1.7297488451004028,-2.980539321899414,-2.0843842029571533,0.9630106091499329,0.6304939,0.6204875
7,-2.9390382766723633,-5.2330732345581055,1.1326735019683838,2.5092339515686035,1.0704652070999146,1.5727027654647827,-2.8653740882873535,-3.2992513179779053,3.214207649230957,5.153198719024658,1.971021294593811,2.9369184970855713,1.2145813703536987,2.6679513454437256,1.509757161140442,3.033479690551758,-1.3424468040466309,-2.065321445465088,0.4296284317970276,0.755441427230835,2.819852113723755,5.228651523590088,-0.7630946636199951,-2.7425966262817383,-3.8870153427124023,-5.57427978515625,1.8732337951660156,1.9316750764846802,2.0894370079040527,3.7662785053253174,1.267055630683899,1.617843508720398,0.11537870764732361,0.13344690203666687,0.017374452203512192,0.15962019562721252,0.7392262816429138,0.12518052756786346,0.7377510070800781,1.2228705883026123,-1.5373073816299438,-2.3164329528808594,2.5964226722717285,4.454930305480957,-2.335296154022217,-1.9722068309783936,-0.9659467935562134,-1.043002963066101,2.276003360748291,3.479102611541748,-3.666388750076294,-5.517401218414307,-2.334686040878296,-2.2655248641967773,-2.141399383544922,-1.3648370504379272,-2.728334903717041,-2.6745200157165527,1.3896607160568237,2.1341588497161865,0.1755363643169403,-0.03334188461303711,-3.470010280609131,-4.409191608428955,0.8602315187454224,1.5636721849441528,3.8257126808166504,5.9494218826293945,-1.7156016826629639,-1.8114075660705566,-3.3202764987945557,-3.8361361026763916,-1.1390115022659302,-1.7125470638275146,0.2669374942779541,0.08077579736709595,-1.0793732404708862,-0.23442032933235168,0.13230857253074646,-0.4240380525588989,-1.001649260520935,-0.15170502662658691,0.4830794036388397,0.948772132396698,0.5744163990020752,-1.280125379562378,-2.4654784202575684,-3.961893320083618,-4.766085624694824,-1.838598608970642,-1.0562111139297485,1.9014664888381958,-3.154711961746216,-2.0584962368011475,0.9653717279434204,0.63089275,0.6211046
8,-3.1696839332580566,-5.467165470123291,1.1976335048675537,2.605247735977173,1.187774896621704,1.7122737169265747,-3.077780246734619,-3.466097831726074,3.300333023071289,5.436697006225586,2.1264524459838867,3.065009593963623,1.2486940622329712,2.7921268939971924,1.6162917613983154,3.1387557983398438,-1.4872862100601196,-2.0717084407806396,0.471876859664917,0.7632592916488647,3.0152788162231445,5.425146102905273,-0.8202956914901733,-2.9192702770233154,-4.169486045837402,-5.752743721008301,2.0273139476776123,1.9905229806900024,2.270413637161255,3.883084774017334,1.3649095296859741,1.6725164651870728,0.12330187857151031,0.10414032638072968,-0.06266511231660843,0.1530134379863739,0.8185010552406311,0.07381337881088257,0.8472212553024292,1.2860909700393677,-1.6239949464797974,-2.4436776638031006,2.8017759323120117,4.718288421630859,-2.4625892639160156,-2.0712897777557373,-0.9511408805847168,-1.1878293752670288,2.556121349334717,3.5998196601867676,-4.016788959503174,-5.619809150695801,-2.5874600410461426,-2.273860454559326,-2.194397211074829,-1.398781180381775,-2.904264450073242,-2.666532278060913,1.4748835563659668,2.20540189743042,0.2664982080459595,-0.06601984798908234,-3.7446448802948,-4.607223033905029,0.8546779751777649,1.7043232917785645,4.101836681365967,6.127228260040283,-1.8953193426132202,-1.82441246509552,-3.4772579669952393,-4.007972240447998,-1.2192291021347046,-1.798338532447815,0.2801293432712555,0.0720699280500412,-1.1098138093948364,-0.22929657995700836,0.22914905846118927,-0.43484655022621155,-1.0168968439102173,-0.17356187105178833,0.4802485406398773,1.0242538452148438,0.7027997970581055,-1.3835581541061401,-2.7081849575042725,-4.210601329803467,-5.218738079071045,-1.854992151260376,-1.083142876625061,2.021984815597534,-3.2923977375030518,-2.035391330718994,0.9605820178985596,0.6309925,0.6214132
9,-3.378410816192627,-5.67042875289917,1.2485020160675049,2.6820385456085205,1.3046950101852417,1.8305212259292603,-3.2612271308898926,-3.627551317214966,3.375784397125244,5.696688175201416,2.2578532695770264,3.1944427490234375,1.2800030708312988,2.9052371978759766,1.7236623764038086,3.226271152496338,-1.657922387123108,-2.056993246078491,0.5208405256271362,0.7590039968490601,3.199308156967163,5.598708629608154,-0.893223762512207,-3.0568580627441406,-4.417985439300537,-5.925965309143066,2.1500837802886963,2.045243740081787,2.4404220581054688,3.9854087829589844,1.4680075645446777,1.7131669521331787,0.13509774208068848,0.0754249319434166,-0.1395786553621292,0.1418931633234024,0.8855394124984741,0.021315891295671463,0.9464699625968933,1.3342467546463013,-1.6900891065597534,-2.554096221923828,2.9946954250335693,4.951671123504639,-2.5793616771698,-2.1657865047454834,-0.9404165148735046,-1.322936773300171,2.8156392574310303,3.724019765853882,-4.331642150878906,-5.713433742523193,-2.791661500930786,-2.3038487434387207,-2.225189685821533,-1.4434704780578613,-3.063506603240967,-2.668949604034424,1.5421462059020996,2.281132221221924,0.3397350013256073,-0.08664709329605103,-3.9902377128601074,-4.801274299621582,0.874552845954895,1.8087600469589233,4.332714557647705,6.30604887008667,-2.0597143173217773,-1.8452165126800537,-3.607362985610962,-4.176844596862793,-1.2936238050460815,-1.8797017335891724,0.2957730293273926,0.06288713961839676,-1.1225403547286987,-0.24001508951187134,0.32095932960510254,-0.4523518681526184,-1.0182726383209229,-0.20493285357952118,0.472884863615036,1.0988669395446777,0.7971165180206299,-1.4668346643447876,-2.9219632148742676,-4.415157794952393,-5.631144046783447,-1.878784418106079,-1.105897068977356,2.0948398113250732,-3.3971364498138428,-2.0181050300598145,0.9526651501655579,0.6309426,0.6223388
