epoch,W1_1_1,W1_1_2,W1_1_3,W1_1_4,W1_1_5,W1_1_6,W1_1_7,W1_1_8,W1_1_9,W1_1_10,W1_1_11,W1_1_12,W1_1_13,W1_1_14,W1_1_15,W1_1_16,W1_1_17,W1_1_18,W1_1_19,W1_1_20,W1_1_21,W1_1_22,W1_1_23,W1_1_24,W1_1_25,W1_1_26,W1_1_27,W1_1_28,W1_1_29,W1_1_30,W1_1_31,W1_1_32,W1_1_33,W1_1_34,W1_1_35,W1_1_36,W1_1_37,W1_1_38,W1_1_39,W1_1_40,W1_1_41,W1_1_42,b1_1,Wout_1_1,bout_1,training_acc,testing_acc
0,0.26021575927734375,-0.13180764019489288,-0.14441190659999847,-0.3214718699455261,0.3091869354248047,-0.2461809366941452,-0.16184063255786896,-0.10737845301628113,0.031046152114868164,-0.3173202574253082,-0.3178930878639221,0.2733996510505676,0.0441226065158844,-0.36656442284584045,-0.3234790861606598,-0.001685023307800293,-0.1502351611852646,0.23118042945861816,0.1184120774269104,-0.013789474964141846,-0.26020509004592896,0.0679980218410492,-0.12370987236499786,-0.25762608647346497,-0.19013972580432892,-0.26935863494873047,0.3637900948524475,0.30114471912384033,-0.2598295211791992,-0.3563717007637024,0.21988004446029663,0.12568485736846924,0.1959913969039917,0.34169644117355347,0.23426759243011475,-0.21828323602676392,0.27338868379592896,-0.2977743148803711,-0.20433059334754944,-0.3498408794403076,-0.23449797928333282,-0.05218750238418579,1.0,1.2065709829330444,1.0,0.5002368,0.4970688
1,-2.184788227081299,1.1355701684951782,0.40426844358444214,-1.7655768394470215,3.291090488433838,1.45352303981781,1.5031198263168335,1.946595311164856,-1.5926324129104614,0.35671868920326233,2.6680612564086914,-0.4786980152130127,-3.207477331161499,1.19826078414917,2.4872994422912598,0.7072386741638184,-0.18021824955940247,0.5104852914810181,0.5310665965080261,0.531735360622406,-1.2164779901504517,1.8430184125900269,-1.3695683479309082,-0.31594112515449524,1.5375866889953613,-3.9245457649230957,-1.7598575353622437,-1.3461172580718994,-2.369063138961792,1.266485333442688,-0.012645374052226543,-2.477935791015625,0.2566606104373932,3.4516921043395996,-1.1972501277923584,-3.1342668533325195,-1.0763771533966064,-0.2912483513355255,-0.8949142694473267,-0.6508854031562805,-0.5586475729942322,0.2724718451499939,0.468055784702301,2.29083251953125,-1.1140694618225098,0.61817867,0.6133909
2,-3.4062857627868652,1.6465113162994385,0.792996883392334,-2.6236510276794434,4.130252361297607,2.0164129734039307,1.8368757963180542,2.3444578647613525,-1.9249730110168457,0.5194479823112488,3.8198397159576416,-1.1281548738479614,-4.469698905944824,1.6054482460021973,2.981729030609131,1.10084867477417,-0.20558199286460876,0.33445078134536743,0.3920400142669678,0.7578262686729431,-1.7279547452926636,2.9200639724731445,-1.8417258262634277,-0.5079107880592346,2.306973457336426,-4.810826778411865,-2.160327196121216,-1.661497950553894,-2.898855209350586,1.7497638463974,0.051266975700855255,-3.5632271766662598,0.8054943084716797,4.766914367675781,-1.5977474451065063,-3.724809169769287,-1.336181879043579,-0.27444374561309814,-0.8572139739990234,-0.4368208646774292,-0.4806117117404938,0.4911026954650879,0.38563165068626404,2.139112949371338,-1.1490881443023682,0.622641,0.6177106
3,-4.130471229553223,1.986920714378357,1.0685558319091797,-3.1660690307617188,4.559708118438721,2.392918109893799,2.011026382446289,2.521338939666748,-2.0705337524414062,0.5858680605888367,4.454745292663574,-1.535193681716919,-5.052779197692871,1.844342827796936,3.2304017543792725,1.3382395505905151,-0.22818027436733246,0.17274992167949677,0.37162333726882935,0.9360755681991577,-2.0907156467437744,3.5297467708587646,-2.1379830837249756,-0.6477263569831848,2.759979009628296,-5.252895355224609,-2.414715051651001,-1.8363505601882935,-3.1824324131011963,1.9507110118865967,0.1063108965754509,-4.155949115753174,1.09407639503479,5.401547431945801,-1.8322837352752686,-4.036526679992676,-1.4998455047607422,-0.2582492530345917,-0.834889829158783,-0.37117019295692444,-0.4729965031147003,0.6287911534309387,0.35297566652297974,2.0665862560272217,-1.1511226892471313,0.6247351,0.61616784
4,-4.630334377288818,2.2394628524780273,1.2865418195724487,-3.5655410289764404,4.833761215209961,2.677253484725952,2.126514434814453,2.620151996612549,-2.173154830932617,0.6202718615531921,4.8742594718933105,-1.8339664936065674,-5.40067195892334,2.006303548812866,3.3935792446136475,1.5048468112945557,-0.2477797567844391,0.036854080855846405,0.3811875283718109,1.0927594900131226,-2.375049591064453,3.939208745956421,-2.350891351699829,-0.7598005533218384,3.078033924102783,-5.533568382263184,-2.597313404083252,-1.9529410600662231,-3.3615639209747314,2.0785739421844482,0.15039710700511932,-4.541797637939453,1.2859675884246826,5.792466640472412,-1.9906539916992188,-4.244701385498047,-1.6204460859298706,-0.24205583333969116,-0.8200224041938782,-0.34723055362701416,-0.48321032524108887,0.7330194711685181,0.33761709928512573,2.021973133087158,-1.1480785608291626,0.6259816,0.6152422
5,-5.000056266784668,2.436391830444336,1.4683189392089844,-3.879715919494629,5.026719093322754,2.904388189315796,2.211984872817993,2.6819405555725098,-2.256411075592041,0.6418998837471008,5.177164554595947,-2.0680994987487793,-5.633821964263916,2.1251673698425293,3.5117838382720947,1.6297603845596313,-0.26488053798675537,-0.0793546512722969,0.39852386713027954,1.2330801486968994,-2.6069865226745605,4.237645149230957,-2.5147864818573,-0.8540910482406616,3.3196518421173096,-5.731942176818848,-2.7379555702209473,-2.037571907043457,-3.484633445739746,2.1730480194091797,0.18394097685813904,-4.81661319732666,1.4271373748779297,6.0621514320373535,-2.105973720550537,-4.39792537689209,-1.7151706218719482,-0.22597450017929077,-0.80865877866745,-0.3378746807575226,-0.49708735942840576,0.8168168663978577,0.3303634822368622,1.9909812211990356,-1.1441171169281006,0.62610626,0.6158593
6,-5.285121917724609,2.5946335792541504,1.624365210533142,-4.136524200439453,5.170550346374512,3.091881036758423,2.279538631439209,2.72347092628479,-2.3271255493164062,0.6576210856437683,5.407360553741455,-2.2584567070007324,-5.8010573387146,2.217027187347412,3.602179765701294,1.726729154586792,-0.27995675802230835,-0.18048346042633057,0.41688793897628784,1.359598994255066,-2.8003878593444824,4.466104507446289,-2.6460745334625244,-0.9355173707008362,3.511956214904785,-5.8810930252075195,-2.8512120246887207,-2.102325201034546,-3.573657512664795,2.247415065765381,0.2090950608253479,-5.02308464050293,1.5370057821273804,6.261056900024414,-2.1940534114837646,-4.517061710357666,-1.7920349836349487,-0.21008433401584625,-0.799559473991394,-0.3343808352947235,-0.510712742805481,0.8861711621284485,0.3272801637649536,1.96793532371521,-1.1401764154434204,0.62655497,0.61678493
7,-5.511131763458252,2.7244064807891846,1.7607063055038452,-4.351795196533203,5.282065391540527,3.2500126361846924,2.3351306915283203,2.753000020980835,-2.388302803039551,0.6703068614006042,5.588292121887207,-2.4170124530792236,-5.926604270935059,2.290598154067993,3.6737332344055176,1.8036158084869385,-0.2933836877346039,-0.26958027482032776,0.4340691864490509,1.4741530418395996,-2.963930368423462,4.6467719078063965,-2.753927230834961,-1.0069801807403564,3.6697800159454346,-5.997928619384766,-2.945176124572754,-2.153704881668091,-3.6403281688690186,2.3078997135162354,0.22791717946529388,-5.183953285217285,1.62565016746521,6.414477348327637,-2.2635915279388428,-4.612951755523682,-1.8556746244430542,-0.19443455338478088,-0.7921664118766785,-0.3334326446056366,-0.5230345726013184,0.9445836544036865,0.3264123201370239,1.9500200748443604,-1.1365140676498413,0.6269289,0.6170935
8,-5.694037914276123,2.8325212001800537,1.8812376260757446,-4.535571575164795,5.370967864990234,3.385415554046631,2.382176160812378,2.774881362915039,-2.441725969314575,0.6812828183174133,5.733941078186035,-2.551398992538452,-6.024039268493652,2.3510420322418213,3.731776475906372,1.865510106086731,-0.3054630756378174,-0.34874218702316284,0.44940608739852905,1.578176498413086,-3.1036150455474854,4.792970657348633,-2.8440892696380615,-1.0703684091567993,3.8021697998046875,-6.092144012451172,-3.0247344970703125,-2.195556163787842,-3.6916322708129883,2.358076333999634,0.24202746152877808,-5.312547206878662,1.6990593671798706,6.536623001098633,-2.3198440074920654,-4.691948413848877,-1.9091161489486694,-0.17904311418533325,-0.7861434817314148,-0.3336222171783447,-0.5338600873947144,0.994338870048523,0.32676103711128235,1.935660719871521,-1.1331857442855835,0.6270037,0.617402
9,-5.844348430633545,2.9236364364624023,1.9887467622756958,-4.694567680358887,5.443274021148682,3.502648115158081,2.4226553440093994,2.7917370796203613,-2.4885826110839844,0.6912122964859009,5.853209495544434,-2.6667373180389404,-6.1015472412109375,2.4016664028167725,3.7797048091888428,1.9158755540847778,-0.31642088294029236,-0.41950488090515137,0.4628414809703827,1.6728514432907104,-3.2238426208496094,4.91334342956543,-2.9204154014587402,-1.1270495653152466,3.915036201477051,-6.169795989990234,-3.093170404434204,-2.230358123779297,-3.731961488723755,2.400261878967285,0.25264620780944824,-5.417412757873535,1.7610208988189697,6.636257171630859,-2.366173505783081,-4.7582292556762695,-1.9544779062271118,-0.16392458975315094,-0.7812299728393555,-0.334297776222229,-0.5432953238487244,1.0370920896530151,0.3277629315853119,1.9238934516906738,-1.130186676979065,0.627253,0.617402
