epoch,W1_1_1,W1_2_1,W1_3_1,W1_1_2,W1_2_2,W1_3_2,W1_1_3,W1_2_3,W1_3_3,W1_1_4,W1_2_4,W1_3_4,W1_1_5,W1_2_5,W1_3_5,W1_1_6,W1_2_6,W1_3_6,W1_1_7,W1_2_7,W1_3_7,W1_1_8,W1_2_8,W1_3_8,W1_1_9,W1_2_9,W1_3_9,W1_1_10,W1_2_10,W1_3_10,W1_1_11,W1_2_11,W1_3_11,W1_1_12,W1_2_12,W1_3_12,W1_1_13,W1_2_13,W1_3_13,W1_1_14,W1_2_14,W1_3_14,W1_1_15,W1_2_15,W1_3_15,W1_1_16,W1_2_16,W1_3_16,W1_1_17,W1_2_17,W1_3_17,W1_1_18,W1_2_18,W1_3_18,W1_1_19,W1_2_19,W1_3_19,W1_1_20,W1_2_20,W1_3_20,W1_1_21,W1_2_21,W1_3_21,W1_1_22,W1_2_22,W1_3_22,W1_1_23,W1_2_23,W1_3_23,W1_1_24,W1_2_24,W1_3_24,W1_1_25,W1_2_25,W1_3_25,W1_1_26,W1_2_26,W1_3_26,W1_1_27,W1_2_27,W1_3_27,W1_1_28,W1_2_28,W1_3_28,W1_1_29,W1_2_29,W1_3_29,W1_1_30,W1_2_30,W1_3_30,W1_1_31,W1_2_31,W1_3_31,W1_1_32,W1_2_32,W1_3_32,W1_1_33,W1_2_33,W1_3_33,W1_1_34,W1_2_34,W1_3_34,W1_1_35,W1_2_35,W1_3_35,W1_1_36,W1_2_36,W1_3_36,W1_1_37,W1_2_37,W1_3_37,W1_1_38,W1_2_38,W1_3_38,W1_1_39,W1_2_39,W1_3_39,W1_1_40,W1_2_40,W1_3_40,W1_1_41,W1_2_41,W1_3_41,W1_1_42,W1_2_42,W1_3_42,b1_1,b1_2,b1_3,Wout_1_1,Wout_1_2,Wout_1_3,bout_1,training_acc,testing_acc
0,0.254367470741272,-0.12884528934955597,-0.14116628468036652,-0.31424686312675476,0.3022380471229553,-0.2406480610370636,-0.15820330381393433,-0.10496515035629272,0.030348390340805054,-0.31018856167793274,-0.31074851751327515,0.2672550678253174,0.043130964040756226,-0.3583259582519531,-0.31620895862579346,-0.0016471445560455322,-0.14685866236686707,0.22598469257354736,0.11575078964233398,-0.013479560613632202,-0.2543570399284363,0.06646975874900818,-0.1209295243024826,-0.25183600187301636,-0.1858663707971573,-0.26330485939979553,0.3556140065193176,0.29437655210494995,-0.25398990511894226,-0.3483623266220093,0.21493834257125854,0.1228601336479187,0.19158655405044556,0.33401691913604736,0.2290024757385254,-0.21337735652923584,0.2672443389892578,-0.29108190536499023,-0.1997383087873459,-0.3419782817363739,-0.2292276918888092,-0.051014602184295654,-0.2771468460559845,-0.18732938170433044,-0.10411685705184937,-0.2232230305671692,-0.22496096789836884,-0.15310212969779968,0.24522411823272705,0.31262075901031494,0.24160587787628174,-0.3225598633289337,-0.14025478065013885,0.30132532119750977,-0.07642468810081482,0.20939165353775024,-0.08087798953056335,-0.29472675919532776,0.10191097855567932,0.12208539247512817,0.20455217361450195,0.03667062520980835,0.05539274215698242,-0.028959989547729492,0.02970641851425171,0.03596276044845581,-0.20646250247955322,0.10048756003379822,-0.013172507286071777,-0.3448057472705841,0.33154767751693726,0.3124184012413025,0.2178889513015747,0.15373528003692627,0.2358270287513733,0.14838337898254395,-0.06099921464920044,-0.29419031739234924,0.30429691076278687,-0.032024770975112915,-0.24157986044883728,-0.1421273946762085,0.08481770753860474,0.014103084802627563,0.07971200346946716,-0.2577621340751648,-0.27462077140808105,-0.2923804521560669,-0.11121007800102234,-0.09717649221420288,-0.13298098742961884,-0.05266296863555908,0.35208529233932495,-0.12676241993904114,0.2565522789955139,-0.3546016216278076,0.1795661449432373,0.052838802337646484,0.33326494693756104,0.14402562379837036,-0.28358131647109985,0.1464022994041443,0.11685964465141296,0.16543954610824585,-0.09782132506370544,0.03135782480239868,0.20484209060668945,0.12734395265579224,-0.20627881586551666,-0.16186966001987457,0.05484062433242798,-0.28293490409851074,0.3592389225959778,0.1814020276069641,0.22362017631530762,-0.23107096552848816,0.3404502272605896,-0.3039565682411194,0.2120789885520935,-0.2961908280849457,0.32463139295578003,-0.043020039796829224,0.009314000606536865,-0.3005402386188507,0.2007451057434082,0.1863929033279419,1.0,1.0,1.0,0.8531745672225952,-0.43216025829315186,-0.47348612546920776,1.0,0.5002368,0.4970688
1,-0.6722260117530823,2.22292423248291,0.8513071537017822,0.0075975884683430195,-0.8771890997886658,-0.9745916724205017,-0.22376608848571777,-0.553132951259613,-0.3611786663532257,-1.1573330163955688,1.2362163066864014,0.810427725315094,0.8425256609916687,-2.9171931743621826,-1.7685097455978394,0.41934531927108765,-1.6117823123931885,-0.6959049701690674,0.4844506084918976,-1.3359029293060303,-1.0301194190979004,0.5264495015144348,-1.760635256767273,-1.3852936029434204,-0.9512434601783752,0.986784815788269,0.6111664772033691,0.2213653326034546,-0.40578725934028625,-0.6334525346755981,0.9956207871437073,-2.187192678451538,-1.0652570724487305,-0.10122648626565933,0.9049342274665833,-0.09947249293327332,-1.136345386505127,3.120944023132324,1.3182971477508545,0.05408897250890732,-1.2754136323928833,-0.7572875618934631,0.5682788491249084,-2.374063014984131,-1.3746386766433716,-0.04465579614043236,-0.7702915668487549,-0.6693429350852966,0.23896662890911102,0.3368895947933197,0.25218719244003296,-0.20115076005458832,-0.6822392344474792,-0.07544071227312088,0.22283819317817688,-0.17890526354312897,-0.38824358582496643,-0.08675041049718857,-0.5250319838523865,-0.21735194325447083,-0.10599037259817123,0.9242659211158752,0.3300711214542389,0.5203428268432617,-1.8536899089813232,-1.0462658405303955,-0.7972539067268372,1.1917080879211426,0.31128212809562683,-0.48453277349472046,0.3338032364845276,0.17681923508644104,0.7012901306152344,-1.5799903869628906,-0.765697717666626,-1.481082558631897,3.4684698581695557,1.2723309993743896,-0.653934121131897,1.5475094318389893,0.47886693477630615,-0.7757952213287354,1.3190845251083374,0.4246162474155426,-1.078052043914795,1.8081616163253784,0.38627856969833374,0.03295557200908661,-1.5471370220184326,-1.0430759191513062,-0.30518653988838196,-0.07154837995767593,0.13343951106071472,-1.2193397283554077,2.4887773990631104,0.47584253549575806,0.11359930038452148,-0.4354143440723419,0.08008013665676117,1.0770164728164673,-3.2522575855255127,-1.4637372493743896,-0.6133137941360474,1.231729507446289,0.4082901179790497,-1.1101726293563843,2.7201006412506104,1.1965681314468384,-0.842093825340271,0.9359385371208191,0.25950944423675537,-0.2707110643386841,0.3428843021392822,0.1688883751630783,-0.22004488110542297,0.5375996232032776,0.6277349591255188,-0.4380153715610504,0.4407050907611847,-0.24177098274230957,-0.005107654724270105,0.46254193782806396,0.278087317943573,-0.18165212869644165,-0.2797956168651581,-0.11111374944448471,0.9098232984542847,0.09487680345773697,0.15759064257144928,1.5979270935058594,-2.00093150138855,-1.4229224920272827,0.7289735078811646,0.6197991,0.61555076
2,-1.1679651737213135,3.2337050437927246,1.312441110610962,0.3383714258670807,-1.3146600723266602,-1.089629054069519,-0.15325136482715607,-0.983210563659668,-0.47273144125938416,-1.6144533157348633,1.8523672819137573,1.1874136924743652,1.2461552619934082,-3.7703564167022705,-2.0361456871032715,0.7051307559013367,-2.0042552947998047,-0.7613216638565063,0.558061957359314,-1.6536163091659546,-1.1546077728271484,0.7671794891357422,-2.105621099472046,-1.627637505531311,-1.2463222742080688,1.341201901435852,0.6181386709213257,0.2577005624771118,-0.4839197099208832,-0.5906202793121338,1.6042852401733398,-3.1961958408355713,-1.4788824319839478,-0.3404233157634735,1.4629663228988647,0.23417584598064423,-1.7015806436538696,4.180018901824951,1.9894734621047974,0.4671740233898163,-1.5826133489608765,-0.8106948137283325,0.9884130954742432,-2.7840874195098877,-1.5546393394470215,0.1883028894662857,-1.115022897720337,-0.8116201758384705,0.22917179763317108,0.3633188009262085,0.263152152299881,-0.1913401335477829,-0.6327787041664124,-0.060115158557891846,0.515913188457489,-0.07862017303705215,-0.3011641800403595,0.08069340884685516,-0.7548267841339111,-0.27290067076683044,-0.27850303053855896,1.3778847455978394,0.45352816581726074,1.0418164730072021,-2.7391624450683594,-1.5624059438705444,-0.999011754989624,1.5941203832626343,0.41077902913093567,-0.5516417026519775,0.5487180352210999,0.21953880786895752,1.0504130125045776,-2.191495895385742,-1.0957551002502441,-2.12253999710083,4.175384521484375,1.6538305282592773,-1.0587034225463867,1.8671990633010864,0.5749270915985107,-0.9913750886917114,1.4601439237594604,0.35290172696113586,-1.5322785377502441,2.2999377250671387,0.40832677483558655,0.2655579149723053,-1.7363429069519043,-1.234065055847168,-0.2802368700504303,-0.06342146545648575,0.031343527138233185,-1.7505017518997192,3.3457717895507812,0.7055531144142151,0.2651984393596649,-0.867624044418335,-0.17174434661865234,1.7690691947937012,-4.260592937469482,-1.9977703094482422,-0.9117064476013184,1.4523420333862305,0.5514793395996094,-1.583793044090271,3.15316104888916,1.3566689491271973,-0.959624707698822,1.1882567405700684,0.18978732824325562,-0.25156494975090027,0.3309507369995117,0.16029544174671173,-0.35846105217933655,0.4748428761959076,0.5092864036560059,-0.32657742500305176,0.32082614302635193,-0.3046395480632782,-0.11204997450113297,0.44101253151893616,0.2668955326080322,-0.1138819009065628,-0.5113633275032043,-0.2878068685531616,1.0534517765045166,0.05040476471185684,0.11765671521425247,1.8881480693817139,-1.8444843292236328,-1.5629358291625977,0.5059086084365845,0.62610626,0.620796
3,-1.6181628704071045,3.8533082008361816,1.595866084098816,0.6266286373138428,-1.5914734601974487,-1.1457483768463135,-0.02133128046989441,-1.2985725402832031,-0.5420950651168823,-1.9315125942230225,2.196474313735962,1.4750070571899414,1.5793020725250244,-4.27182674407959,-2.178196907043457,0.98822420835495,-2.2634236812591553,-0.7984412908554077,0.5788314342498779,-1.8888204097747803,-1.2504228353500366,0.9358066916465759,-2.301870822906494,-1.8120070695877075,-1.5155569314956665,1.4797194004058838,0.5240129828453064,0.26751434803009033,-0.5318393707275391,-0.5123612880706787,2.1058313846588135,-3.750565528869629,-1.7254230976104736,-0.49383145570755005,1.826159954071045,0.4485551416873932,-2.119112968444824,4.68410062789917,2.4096710681915283,0.8602197170257568,-1.7467801570892334,-0.8147242069244385,1.3727608919143677,-3.0202314853668213,-1.6232529878616333,0.3422647714614868,-1.3230406045913696,-0.901877760887146,0.2231006622314453,0.387988805770874,0.2734091579914093,-0.1635092943906784,-0.5640884041786194,-0.019367489963769913,0.8237376809120178,0.01767183654010296,-0.22079381346702576,0.2641162872314453,-0.9169802665710449,-0.2804853022098541,-0.4203210771083832,1.6973495483398438,0.513426661491394,1.4815378189086914,-3.239666223526001,-1.9213072061538696,-1.162193775177002,1.8537445068359375,0.5028060674667358,-0.6037706136703491,0.7240539789199829,0.2858749330043793,1.358449935913086,-2.553429365158081,-1.3023579120635986,-2.6807117462158203,4.475610733032227,1.929409384727478,-1.464900016784668,2.021465539932251,0.6129421591758728,-1.1804471015930176,1.5254284143447876,0.3143514096736908,-1.882481336593628,2.5158426761627197,0.3764845132827759,0.4942473769187927,-1.8044201135635376,-1.3885462284088135,-0.21102440357208252,-0.021210694685578346,-0.039749301970005035,-2.1865246295928955,3.831862449645996,0.8576463460922241,0.33299803733825684,-1.1281633377075195,-0.3692317306995392,2.3278632164001465,-4.753393173217773,-2.3299670219421387,-1.2145792245864868,1.5489709377288818,0.6830572485923767,-1.9858384132385254,3.379521608352661,1.5249245166778564,-1.0131566524505615,1.379633903503418,0.13700808584690094,-0.2309674173593521,0.3227585554122925,0.1521538943052292,-0.487804114818573,0.41001757979393005,0.4011876583099365,-0.19535453617572784,0.30275771021842957,-0.30213463306427,-0.22413507103919983,0.4179850220680237,0.27361220121383667,-0.06558239459991455,-0.6579490303993225,-0.42298516631126404,1.1854504346847534,0.07517863065004349,0.10679985582828522,2.0170366764068604,-1.726706862449646,-1.651476502418518,0.34333276748657227,0.6293471,0.6198704
4,-2.0447211265563965,4.283135890960693,1.7947266101837158,0.8638488054275513,-1.7893387079238892,-1.166887640953064,0.15096049010753632,-1.5355267524719238,-0.5881309509277344,-2.1698501110076904,2.4418728351593018,1.724202275276184,1.8794729709625244,-4.648524761199951,-2.2779643535614014,1.2391797304153442,-2.4663732051849365,-0.8268767595291138,0.5742312669754028,-2.0868265628814697,-1.3318809270858765,1.0646957159042358,-2.445140838623047,-1.965545415878296,-1.782089114189148,1.5341726541519165,0.40651756525039673,0.26686179637908936,-0.5723149180412292,-0.41707250475883484,2.532695770263672,-4.114349365234375,-1.8930795192718506,-0.625563383102417,2.0929176807403564,0.5967434048652649,-2.494645118713379,4.99859619140625,2.7197265625,1.177533507347107,-1.8554612398147583,-0.7986963987350464,1.694486379623413,-3.201611042022705,-1.6373281478881836,0.4520779550075531,-1.4824937582015991,-0.9605940580368042,0.22155478596687317,0.41123950481414795,0.2829684317111969,-0.13108189404010773,-0.504048228263855,0.03346299007534981,1.0574568510055542,0.1112697646021843,-0.14031261205673218,0.45153123140335083,-1.0438588857650757,-0.2617819905281067,-0.5530397295951843,1.946557879447937,0.5405556559562683,1.865035891532898,-3.5869245529174805,-2.2178192138671875,-1.3354641199111938,2.0549144744873047,0.5774181485176086,-0.6452158093452454,0.8760492205619812,0.3566385507583618,1.6409659385681152,-2.8086600303649902,-1.4606225490570068,-3.17962646484375,4.635660171508789,2.1686205863952637,-1.815860629081726,2.107847213745117,0.6399157643318176,-1.3538151979446411,1.565824270248413,0.28705787658691406,-2.172985315322876,2.638240098953247,0.3286324143409729,0.7087465524673462,-1.8356564044952393,-1.5345035791397095,-0.1217106282711029,0.0415581651031971,-0.10716693848371506,-2.558695077896118,4.1722588539123535,0.9707894325256348,0.3984651565551758,-1.3109842538833618,-0.5286999940872192,2.79945969581604,-5.051864147186279,-2.584653615951538,-1.4974035024642944,1.5790189504623413,0.8067742586135864,-2.331899642944336,3.532165288925171,1.6901473999023438,-1.0430458784103394,1.549203634262085,0.08681263029575348,-0.20907922089099884,0.3161100447177887,0.14394888281822205,-0.607745349407196,0.3585638105869293,0.3006739318370819,-0.052556104958057404,0.32153022289276123,-0.2809980809688568,-0.3295007348060608,0.38645511865615845,0.2849823236465454,-0.023516526445746422,-0.770645260810852,-0.5382916927337646,1.3044216632843018,0.08512022346258163,0.1002427414059639,2.0308167934417725,-1.639277458190918,-1.717311978340149,0.2228924036026001,0.6305686,0.62203026
5,-2.4349613189697266,4.60493278503418,1.9459456205368042,1.0626640319824219,-1.9366061687469482,-1.167805790901184,0.33238494396209717,-1.7197237014770508,-0.6209004521369934,-2.3733465671539307,2.637576103210449,1.9472466707229614,2.1519813537597656,-4.9567155838012695,-2.3564162254333496,1.4579908847808838,-2.63881254196167,-0.8488003015518188,0.568661093711853,-2.2582662105560303,-1.4052207469940186,1.178066611289978,-2.5522735118865967,-2.0975050926208496,-2.030701160430908,1.5497313737869263,0.28900641202926636,0.2740001380443573,-0.6083924770355225,-0.3127686381340027,2.8981525897979736,-4.380845546722412,-2.0145492553710938,-0.7480289340019226,2.3010153770446777,0.7035443186759949,-2.8467648029327393,5.222515106201172,2.9638452529907227,1.4184964895248413,-1.9446330070495605,-0.7763203382492065,1.9497325420379639,-3.3626012802124023,-1.6210304498672485,0.5494647026062012,-1.608728051185608,-0.9946221709251404,0.22358833253383636,0.4338347911834717,0.29220008850097656,-0.10749650001525879,-0.4543629586696625,0.09205204993486404,1.2089109420776367,0.18657571077346802,-0.06459801644086838,0.6305303573608398,-1.146314024925232,-0.2262052595615387,-0.6801801323890686,2.1494596004486084,0.5496425032615662,2.196108341217041,-3.858696460723877,-2.4819674491882324,-1.528250813484192,2.2172739505767822,0.6327853202819824,-0.6770453453063965,1.0043045282363892,0.42728835344314575,1.89885675907135,-3.010114908218384,-1.5924627780914307,-3.611058473587036,4.737903118133545,2.3874292373657227,-2.0929222106933594,2.1732735633850098,0.6699396371841431,-1.510994553565979,1.593843936920166,0.26280221343040466,-2.4232771396636963,2.7171854972839355,0.2751897871494293,0.8960262537002563,-1.8500100374221802,-1.6726669073104858,-0.036811456084251404,0.11197838187217712,-0.17691446840763092,-2.8822622299194336,4.442073345184326,1.058439016342163,0.49075114727020264,-1.4331700801849365,-0.6570534706115723,3.1930599212646484,-5.256330966949463,-2.7998135089874268,-1.7410261631011963,1.5792202949523926,0.9281125664710999,-2.627912759780884,3.6496849060058594,1.8488887548446655,-1.0736905336380005,1.6979268789291382,0.03540966659784317,-0.1860566884279251,0.31092721223831177,0.1357967108488083,-0.7133998870849609,0.3263286054134369,0.2064349353313446,0.08656466007232666,0.3547760844230652,-0.25433632731437683,-0.4220373332500458,0.35494640469551086,0.29891860485076904,0.01289987750351429,-0.86341792345047,-0.6404454112052917,1.4175381660461426,0.06842125207185745,0.09942437708377838,1.9811755418777466,-1.5722475051879883,-1.770401954650879,0.13365904986858368,0.6313664,0.6238815
6,-2.7850708961486816,4.860037803649902,2.067549705505371,1.2333377599716187,-2.050821542739868,-1.1582001447677612,0.5051249265670776,-1.870376706123352,-0.647966206073761,-2.5658328533172607,2.800229549407959,2.146514892578125,2.4010024070739746,-5.2173285484313965,-2.424553632736206,1.6532273292541504,-2.788698434829712,-0.8640496730804443,0.5726783871650696,-2.410346031188965,-1.4724516868591309,1.2852360010147095,-2.631368637084961,-2.213447093963623,-2.2561469078063965,1.5514748096466064,0.17882397770881653,0.2930627167224884,-0.6454504728317261,-0.20348414778709412,3.212327480316162,-4.593976974487305,-2.10659122467041,-0.8614670634269714,2.4723029136657715,0.7826545834541321,-3.177974224090576,5.392707347869873,3.1612708568573,1.604537844657898,-2.0264368057250977,-0.75562983751297,2.1526033878326416,-3.518878698348999,-1.585505723953247,0.6498635411262512,-1.7050144672393799,-1.0102391242980957,0.22825674712657928,0.4559383988380432,0.3015235364437103,-0.09811814874410629,-0.4144800305366516,0.15204542875289917,1.301796317100525,0.23900847136974335,0.004279573448002338,0.7957979440689087,-1.2318745851516724,-0.1794707030057907,-0.8002906441688538,2.317878246307373,0.5490416288375854,2.4836232662200928,-4.083099842071533,-2.7257044315338135,-1.7305006980895996,2.348945379257202,0.6744216680526733,-0.703301191329956,1.1106586456298828,0.497566819190979,2.1323330402374268,-3.1826794147491455,-1.7043966054916382,-3.9780828952789307,4.817089557647705,2.5863986015319824,-2.3118021488189697,2.234933853149414,0.6999765634536743,-1.6494994163513184,1.614033579826355,0.24083757400512695,-2.643599271774292,2.7704648971557617,0.22095926105976105,1.0556095838546753,-1.8571009635925293,-1.80097496509552,0.035309240221977234,0.1807323396205902,-0.24752898514270782,-3.1697919368743896,4.671133518218994,1.1271499395370483,0.6037200093269348,-1.509316325187683,-0.7654891610145569,3.521949291229248,-5.412504196166992,-2.9912197589874268,-1.9418861865997314,1.5665459632873535,1.0479817390441895,-2.881216526031494,3.7444393634796143,2.0029754638671875,-1.1095237731933594,1.8277404308319092,-0.017974188551306725,-0.16219104826450348,0.3074268400669098,0.1277567446231842,-0.8016250729560852,0.31213298439979553,0.1196838989853859,0.21512971818447113,0.3899204134941101,-0.225908562541008,-0.49903663992881775,0.3296072781085968,0.3160814344882965,0.044243503361940384,-0.9431902766227722,-0.7323917150497437,1.523943305015564,0.031597111374139786,0.10754938423633575,1.9184341430664062,-1.5176708698272705,-1.8123233318328857,0.06266875565052032,0.63181514,0.62295586
7,-3.0981268882751465,5.071534156799316,2.168735980987549,1.381281852722168,-2.144315004348755,-1.1435658931732178,0.6634228825569153,-1.9979122877120972,-0.6739217638969421,-2.7549917697906494,2.940493106842041,2.32291316986084,2.6280789375305176,-5.44065523147583,-2.4901115894317627,1.8301724195480347,-2.9205896854400635,-0.8733269572257996,0.5868669748306274,-2.546880006790161,-1.533734917640686,1.3868812322616577,-2.691080093383789,-2.317111015319824,-2.460174083709717,1.551527976989746,0.07754265516996384,0.32118481397628784,-0.6855906844139099,-0.0920528993010521,3.482982873916626,-4.775982856750488,-2.1794095039367676,-0.9662721753120422,2.6194183826446533,0.8417863249778748,-3.4876387119293213,5.528353214263916,3.322862148284912,1.7543691396713257,-2.103513479232788,-0.7410653233528137,2.3179500102996826,-3.675743579864502,-1.5355931520462036,0.7560657262802124,-1.775585651397705,-1.0131921768188477,0.2349264919757843,0.4773794114589691,0.31114763021469116,-0.10320054739713669,-0.3834819793701172,0.21088151633739471,1.3590012788772583,0.27033156156539917,0.0668531134724617,0.946932852268219,-1.306125283241272,-0.12518471479415894,-0.911389172077179,2.459986686706543,0.5437561273574829,2.737560987472534,-4.272193431854248,-2.9542229175567627,-1.9303985834121704,2.456942081451416,0.7087548971176147,-0.7283405065536499,1.1993494033813477,0.5676913261413574,2.3422672748565674,-3.33845591545105,-1.7990895509719849,-4.290578365325928,4.888247966766357,2.7646021842956543,-2.4912126064300537,2.2973411083221436,0.725333571434021,-1.7681825160980225,1.6317094564437866,0.22131142020225525,-2.8383700847625732,2.8067188262939453,0.1690303236246109,1.191211223602295,-1.861546516418457,-1.9182723760604858,0.09495880454778671,0.2434082329273224,-0.31540247797966003,-3.4296581745147705,4.873294830322266,1.1814942359924316,0.7256588339805603,-1.554012417793274,-0.8623615503311157,3.80037260055542,-5.542448043823242,-3.1654887199401855,-2.1057915687561035,1.5491081476211548,1.16608464717865,-3.0994601249694824,3.823016881942749,2.1542465686798096,-1.1468297243118286,1.9431933164596558,-0.07305314391851425,-0.1376960277557373,0.30566921830177307,0.11978629976511002,-0.872413694858551,0.31278979778289795,0.04149037227034569,0.3319903314113617,0.4222889244556427,-0.1971297562122345,-0.5607227683067322,0.3124002516269684,0.3367255628108978,0.07224906235933304,-1.0141431093215942,-0.8156522512435913,1.618789792060852,-0.01873588189482689,0.12586213648319244,1.8637809753417969,-1.473038911819458,-1.8432724475860596,0.005016094073653221,0.6324633,0.62326443
8,-3.379117727279663,5.2540154457092285,2.2545111179351807,1.510564923286438,-2.2245702743530273,-1.1270304918289185,0.8074885606765747,-2.1080594062805176,-0.7008829116821289,-2.940746307373047,3.0657248497009277,2.477908134460449,2.8344249725341797,-5.632941246032715,-2.5576889514923096,1.9918361902236938,-3.0381321907043457,-0.8773977756500244,0.6092047095298767,-2.668931722640991,-1.589262843132019,1.4821994304656982,-2.7378082275390625,-2.4110453128814697,-2.6449644565582275,1.5552219152450562,-0.01488414965569973,0.35557085275650024,-0.7272277474403381,0.01881016232073307,3.717022657394409,-4.93771505355835,-2.239624261856079,-1.0631762742996216,2.749582290649414,0.8862985372543335,-3.7742483615875244,5.642214298248291,3.4563114643096924,1.8802944421768188,-2.175598621368408,-0.7343398332595825,2.4568190574645996,-3.8326332569122314,-1.474152684211731,0.8659216165542603,-1.8256441354751587,-1.0081082582473755,0.24317792057991028,0.49806004762649536,0.32110172510147095,-0.12052734941244125,-0.36069512367248535,0.26718637347221375,1.3958436250686646,0.28489094972610474,0.12422586232423782,1.0854839086532593,-1.3730920553207397,-0.06559016555547714,-1.0123801231384277,2.582254648208618,0.5367876887321472,2.9651222229003906,-4.433867931365967,-3.170093297958374,-2.120863437652588,2.5471580028533936,0.7397180795669556,-0.754759669303894,1.2744559049606323,0.6373727917671204,2.5306804180145264,-3.4830968379974365,-1.8789345026016235,-4.559727191925049,4.957094192504883,2.9230377674102783,-2.644380569458008,2.360487937927246,0.7446745038032532,-1.8678542375564575,1.6515907049179077,0.20302653312683105,-3.0109522342681885,2.8314707279205322,0.12104516476392746,1.3068206310272217,-1.8654863834381104,-2.0246970653533936,0.14422693848609924,0.29841384291648865,-0.3777216672897339,-3.667447805404663,5.055250644683838,1.2249950170516968,0.8482394814491272,-1.5788311958312988,-0.9514228105545044,4.03980827331543,-5.65627908706665,-3.3255438804626465,-2.241086721420288,1.5310739278793335,1.2818384170532227,-3.2897391319274902,3.8906524181365967,2.302489757537842,-1.1824369430541992,2.048739433288574,-0.12929905951023102,-0.11273276060819626,0.3054649233818054,0.11183102428913116,-0.9277552366256714,0.3251965343952179,-0.0285699050873518,0.43769073486328125,0.45133233070373535,-0.16928289830684662,-0.6091744303703308,0.30295366048812866,0.35993459820747375,0.09850047528743744,-1.0788897275924683,-0.8913155198097229,1.6999591588974,-0.07896704971790314,0.15442749857902527,1.8197227716445923,-1.4373447895050049,-1.8642935752868652,-0.04096122831106186,0.63236356,0.6248072
9,-3.6331067085266113,5.416316509246826,2.328068971633911,1.624576210975647,-2.296022415161133,-1.1104563474655151,0.9394267201423645,-2.2042887210845947,-0.7294425368309021,-3.1211471557617188,3.1809000968933105,2.613633394241333,3.021775245666504,-5.799149990081787,-2.6289846897125244,2.1404590606689453,-3.144503116607666,-0.8763114809989929,0.6376913189888,-2.777038812637329,-1.6397085189819336,1.5708287954330444,-2.775491237640381,-2.497013568878174,-2.8121049404144287,1.5646153688430786,-0.09895361214876175,0.3943672776222229,-0.7683985233306885,0.12686064839363098,3.9205820560455322,-5.08471155166626,-2.2914085388183594,-1.153013825416565,2.866792678833008,0.9206386208534241,-4.037057399749756,5.742761135101318,3.5676329135894775,1.9897010326385498,-2.2422797679901123,-0.7353570461273193,2.576707124710083,-3.987433433532715,-1.4034241437911987,0.9761625528335571,-1.8604899644851685,-0.9982951283454895,0.252706378698349,0.5180301666259766,0.3313343822956085,-0.14727815985679626,-0.34526726603507996,0.32034918665885925,1.4214682579040527,0.2878919839859009,0.17733795940876007,1.2132432460784912,-1.43534255027771,-0.0020808009430766106,-1.1031614542007446,2.6898536682128906,0.5298370718955994,3.1711761951446533,-4.574055194854736,-3.3747377395629883,-2.299217939376831,2.624236583709717,0.768941342830658,-0.7833337187767029,1.339288353919983,0.7059766054153442,2.700528860092163,-3.619147539138794,-1.9463571310043335,-4.795175075531006,5.025712490081787,3.0635392665863037,-2.7796332836151123,2.4229161739349365,0.758804976940155,-1.9506722688674927,1.6762243509292603,0.18418703973293304,-3.1647701263427734,2.8485965728759766,0.07746750116348267,1.4059865474700928,-1.8695921897888184,-2.1210780143737793,0.18507073819637299,0.3458247184753418,-0.43318071961402893,-3.8871207237243652,5.220676898956299,1.2601659297943115,0.9668269753456116,-1.5916670560836792,-1.0338832139968872,4.248826026916504,-5.759217262268066,-3.473104238510132,-2.355140209197998,1.5143240690231323,1.394465684890747,-3.4583234786987305,3.9509029388427734,2.4461631774902344,-1.2152166366577148,2.1473047733306885,-0.18627774715423584,-0.08744656294584274,0.3065226376056671,0.10386302322149277,-0.9706522822380066,0.34630879759788513,-0.09175631403923035,0.532896876335144,0.4776124060153961,-0.14357905089855194,-0.6470479965209961,0.29975059628486633,0.3843344449996948,0.12391258031129837,-1.1388343572616577,-0.9602707624435425,1.7681469917297363,-0.14667296409606934,0.192818284034729,1.7840464115142822,-1.4093265533447266,-1.8766671419143677,-0.07687072455883026,0.63198966,0.62542427
