epoch,W1_1_1,W1_1_2,W1_1_3,W1_1_4,W1_1_5,W1_1_6,W1_1_7,W1_1_8,W1_1_9,W1_1_10,W1_1_11,W1_1_12,W1_1_13,W1_1_14,W1_1_15,W1_1_16,W1_1_17,W1_1_18,W1_1_19,W1_1_20,W1_1_21,W1_1_22,W1_1_23,W1_1_24,W1_1_25,W1_1_26,W1_1_27,W1_1_28,W1_1_29,W1_1_30,W1_1_31,W1_1_32,W1_1_33,W1_1_34,W1_1_35,W1_1_36,W1_1_37,W1_1_38,W1_1_39,W1_1_40,W1_1_41,W1_1_42,b1_1,W2_1_1,b2_1,W3_1_1,b3_1,Wout_1_1,bout_1,training_acc,testing_acc
0,0.26021575927734375,-0.13180764019489288,-0.14441190659999847,-0.3214718699455261,0.3091869354248047,-0.2461809366941452,-0.16184063255786896,-0.10737845301628113,0.031046152114868164,-0.3173202574253082,-0.3178930878639221,0.2733996510505676,0.0441226065158844,-0.36656442284584045,-0.3234790861606598,-0.001685023307800293,-0.1502351611852646,0.23118042945861816,0.1184120774269104,-0.013789474964141846,-0.26020509004592896,0.0679980218410492,-0.12370987236499786,-0.25762608647346497,-0.19013972580432892,-0.26935863494873047,0.3637900948524475,0.30114471912384033,-0.2598295211791992,-0.3563717007637024,0.21988004446029663,0.12568485736846924,0.1959913969039917,0.34169644117355347,0.23426759243011475,-0.21828323602676392,0.27338868379592896,-0.2977743148803711,-0.20433059334754944,-0.3498408794403076,-0.23449797928333282,-0.05218750238418579,1.0,1.2065709829330444,1.0,1.2065709829330444,1.0,1.2065709829330444,1.0,0.5002368,0.4970688
1,0.25519946217536926,-0.1389661580324173,-0.14934110641479492,-0.3271290957927704,0.30289119482040405,-0.25169500708580017,-0.16533008217811584,-0.11626313626766205,0.021292872726917267,-0.32404062151908875,-0.32385048270225525,0.26813772320747375,0.03611820191144943,-0.3722512722015381,-0.3264577090740204,-0.00899073388427496,-0.1502557098865509,0.2285829782485962,0.11568013578653336,-0.015488754957914352,-0.2607593834400177,0.06213469058275223,-0.13154703378677368,-0.26249533891677856,-0.19572174549102783,-0.2745853066444397,0.35786721110343933,0.29718050360679626,-0.268729567527771,-0.36594730615615845,0.21418431401252747,0.11895789951086044,0.19048047065734863,0.33378055691719055,0.2280046045780182,-0.22176672518253326,0.2666276693344116,-0.2977531850337982,-0.2076544165611267,-0.3527495265007019,-0.2375485748052597,-0.05282998085021973,0.9841121435165405,1.1716463565826416,0.942916989326477,-0.8656372427940369,-1.4849529266357422,0.026242660358548164,-0.42660143971443176,0.49976316,0.5029312
2,0.2578752040863037,-0.13804277777671814,-0.14854085445404053,-0.3245159983634949,0.30050259828567505,-0.2512364387512207,-0.16655296087265015,-0.1163797676563263,0.026847710832953453,-0.3228211998939514,-0.3250995874404907,0.2705920934677124,0.04078027606010437,-0.37250861525535583,-0.32950806617736816,-0.008420740254223347,-0.1502232551574707,0.2286055088043213,0.11496727168560028,-0.01573607698082924,-0.2599029541015625,0.0654076561331749,-0.12357203662395477,-0.2570911943912506,-0.19126242399215698,-0.26434850692749023,0.36460480093955994,0.3033466041088104,-0.2585708796977997,-0.3608930706977844,0.22024796903133392,0.12806355953216553,0.19515463709831238,0.33820635080337524,0.23583702743053436,-0.21380089223384857,0.27430975437164307,-0.2977388799190521,-0.20323316752910614,-0.3489238917827606,-0.23448102176189423,-0.05198473855853081,0.9928696155548096,1.1954360008239746,0.9770674109458923,-1.1067227125167847,-1.7668322324752808,0.060254842042922974,-0.42735251784324646,0.49976316,0.5029312
3,0.25913721323013306,-0.13952293992042542,-0.14946803450584412,-0.32373300194740295,0.2953667938709259,-0.25301414728164673,-0.16931869089603424,-0.11953282356262207,0.029581036418676376,-0.32397931814193726,-0.3286915421485901,0.27101370692253113,0.043096959590911865,-0.3750549852848053,-0.3340842127799988,-0.010303892195224762,-0.15019823610782623,0.22775796055793762,0.11323048919439316,-0.01647518202662468,-0.2593863308429718,0.06720560044050217,-0.11718284338712692,-0.2528964877128601,-0.18837814033031464,-0.25530803203582764,0.36987075209617615,0.3088545799255371,-0.25026267766952515,-0.35856497287750244,0.22491276264190674,0.13583232462406158,0.19822150468826294,0.34029003977775574,0.24238421022891998,-0.20614409446716309,0.280442476272583,-0.2977330982685089,-0.1994486302137375,-0.3455440104007721,-0.2318267524242401,-0.05146444961428642,0.9969169497489929,1.2106443643569946,0.9953843951225281,-1.233941674232483,-1.9119783639907837,0.09158734977245331,-0.42795854806900024,0.49976316,0.5029312
4,0.25967898964881897,-0.14251673221588135,-0.15147072076797485,-0.32395732402801514,0.2882240414619446,-0.25623250007629395,-0.17320102453231812,-0.12469914555549622,0.03089260123670101,-0.32661497592926025,-0.3339338004589081,0.27028489112854004,0.04423648118972778,-0.3791365921497345,-0.339913010597229,-0.013760445639491081,-0.15017637610435486,0.22633890807628632,0.11075720936059952,-0.017558472231030464,-0.259034126996994,0.0682900995016098,-0.11120431870222092,-0.24907028675079346,-0.18617837131023407,-0.24625475704669952,0.37469151616096497,0.31442365050315857,-0.24236634373664856,-0.3576365113258362,0.22913537919521332,0.1434425562620163,0.20059657096862793,0.3411758542060852,0.24870459735393524,-0.19805794954299927,0.2861618101596832,-0.2977356016635895,-0.1957326978445053,-0.3421507775783539,-0.22919809818267822,-0.05109377205371857,0.9985503554344177,1.222458004951477,1.0063621997833252,-1.320712924003601,-2.008186101913452,0.12311504781246185,-0.42853114008903503,0.49976316,0.5029312
5,0.2596834897994995,-0.14681470394134521,-0.15439137816429138,-0.32496681809425354,0.279213547706604,-0.26071393489837646,-0.17812208831310272,-0.13165025413036346,0.03116566129028797,-0.33050736784935,-0.34068238735198975,0.26863130927085876,0.04451656714081764,-0.3845885992050171,-0.3469754457473755,-0.018584588542580605,-0.15015609562397003,0.2244156152009964,0.10760239511728287,-0.01895475573837757,-0.25879132747650146,0.06887248158454895,-0.10527943074703217,-0.24536052346229553,-0.18441125750541687,-0.2367885261774063,0.3793798089027405,0.32028359174728394,-0.23444150388240814,-0.3577524423599243,0.2332029938697815,0.1512671858072281,0.20253919064998627,0.34117698669433594,0.2551248371601105,-0.18928208947181702,0.2918095886707306,-0.2977507710456848,-0.19190731644630432,-0.33859753608703613,-0.22647514939308167,-0.05082284286618233,0.9983746409416199,1.2326571941375732,1.0125139951705933,-1.3868530988693237,-2.0788257122039795,0.15621310472488403,-0.4291191101074219,0.49976316,0.5029312
6,0.2591986358165741,-0.15242375433444977,-0.1582280695438385,-0.3267238736152649,0.2682340741157532,-0.26647642254829407,-0.184128999710083,-0.14042772352695465,0.030497699975967407,-0.3356550633907318,-0.34899744391441345,0.2660859525203705,0.044017910957336426,-0.39144426584243774,-0.3553638160228729,-0.024794580414891243,-0.1501350700855255,0.22197571396827698,0.1037355363368988,-0.02067677490413189,-0.25863876938819885,0.06901069730520248,-0.09924037009477615,-0.24165502190589905,-0.18299022316932678,-0.226690873503685,0.3840782046318054,0.3265680968761444,-0.22627007961273193,-0.3588302433490753,0.2372407615184784,0.15950259566307068,0.2041354924440384,0.34036290645599365,0.261812686920166,-0.17963656783103943,0.2975517511367798,-0.29778364300727844,-0.18787607550621033,-0.33479905128479004,-0.2235921174287796,-0.05063585937023163,0.9965429306030273,1.2421109676361084,1.0146822929382324,-1.4405897855758667,-2.133328437805176,0.1919105499982834,-0.4297539293766022,0.49976316,0.5029312
7,0.25819894671440125,-0.15948347747325897,-0.16307203471660614,-0.32926976680755615,0.2550365924835205,-0.2736566364765167,-0.1913619339466095,-0.1512395739555359,0.02885001339018345,-0.3421888053417206,-0.35907432436943054,0.2625718414783478,0.0427078939974308,-0.3998717665672302,-0.365266889333725,-0.032544203102588654,-0.15011441707611084,0.21896083652973175,0.09906464070081711,-0.022764939814805984,-0.25857555866241455,0.06869473308324814,-0.0929771438241005,-0.23789167404174805,-0.18190288543701172,-0.2157604992389679,0.3888668417930603,0.3334035873413086,-0.21770183742046356,-0.36091503500938416,0.2413177490234375,0.16831164062023163,0.20540489256381989,0.3386925756931305,0.26889052987098694,-0.1689266711473465,0.30349215865135193,-0.29783523082733154,-0.18356361985206604,-0.33068418502807617,-0.22049425542354584,-0.05053234472870827,0.9929640293121338,1.2514375448226929,1.0129958391189575,-1.4861185550689697,-2.1762571334838867,0.23123322427272797,-0.4304647445678711,0.49976316,0.5029312
8,0.2566095292568207,-0.16825588047504425,-0.16910046339035034,-0.33272889256477356,0.2391865849494934,-0.28252333402633667,-0.2000577300786972,-0.16446667909622192,0.0260869599878788,-0.35034865140914917,-0.37124961614608765,0.2579362094402313,0.04047412797808647,-0.4101629853248596,-0.3769789934158325,-0.042114753276109695,-0.15009351074695587,0.2152682989835739,0.09343715757131577,-0.025289256125688553,-0.2586093246936798,0.06787019222974777,-0.08638813346624374,-0.23401837050914764,-0.18118014931678772,-0.2037658989429474,0.3938089609146118,0.34093204140663147,-0.20858415961265564,-0.36415791511535645,0.2454890012741089,0.17786842584609985,0.20631873607635498,0.3360454738140106,0.2764880061149597,-0.1568976491689682,0.3097313344478607,-0.2978983223438263,-0.17888586223125458,-0.3261662721633911,-0.21712087094783783,-0.0505204051733017,0.9873754382133484,1.2611509561538696,1.007053017616272,-1.5259203910827637,-2.2098443508148193,0.2754022479057312,-0.4312885105609894,0.49976316,0.5029312
9,0.2543005049228668,-0.1791517585515976,-0.17659005522727966,-0.3372979760169983,0.22001920640468597,-0.2934838831424713,-0.21057716012001038,-0.18069566786289215,0.02197416126728058,-0.36052384972572327,-0.38603460788726807,0.25190970301628113,0.03712209314107895,-0.4227605164051056,-0.39096206426620483,-0.05394936352968216,-0.15007151663303375,0.21073251962661743,0.08661481738090515,-0.028358204290270805,-0.25875815749168396,0.06643342971801758,-0.07934214919805527,-0.2299783080816269,-0.18088385462760925,-0.1903826892375946,0.3989824056625366,0.3493582606315613,-0.1987203061580658,-0.36881113052368164,0.24981407821178436,0.18841584026813507,0.20681725442409515,0.3322043716907501,0.2847834527492523,-0.14318089187145233,0.3163948655128479,-0.2979634404182434,-0.17372512817382812,-0.3211212754249573,-0.21338613331317902,-0.050617873668670654,0.979345977306366,1.2719084024429321,0.9958768486976624,-1.5615828037261963,-2.234867572784424,0.3260558843612671,-0.43227869272232056,0.49976316,0.5029312
