"sampleID","a_f1","a_f2","a_f3","a_f4","a_f5","b_f1","b_f2","b_f3","b_f4","b_f5","win"
1,9034,8662,5892,3785,1156,8546,9498,6059,3981,791,0
2,10222,8809,5999,4019,973,10502,9011,6003,3997,1152,1
3,10868,8870,5892,4066,848,10414,9091,6156,3885,957,1
4,8123,9052,5993,4022,1225,10113,9315,5972,3779,814,0
5,10343,8756,5869,3846,1093,11166,9124,5946,4100,843,0
6,10405,8690,6042,4039,664,9605,9238,5999,4058,1023,1
7,9540,9155,6004,4155,862,8302,8944,6112,4198,1215,1
8,9563,9352,5832,3972,623,9893,8730,5913,4105,1076,1
9,9548,9284,6303,4224,1306,9658,8942,6168,4164,922,0
10,9288,8746,5846,3916,866,10070,8764,5993,4078,1191,0
11,9618,8746,5933,3966,884,9281,9060,6151,4009,1059,1
12,9201,9155,6045,4117,1156,10744,9063,5848,4146,790,0
13,9379,8974,6209,3784,1017,10775,8684,5936,3892,724,0
14,10052,9044,6133,4208,937,9995,8704,6045,3981,501,1
15,10768,9043,6131,3898,965,9628,8852,6112,3948,1187,1
16,9912,9219,5917,4109,1006,9294,8795,5992,4087,1151,1
17,9591,8911,5962,4022,1241,10896,8948,5993,3821,1093,0
18,9271,9425,5793,3888,1020,10266,9255,5868,3915,1117,0
19,9330,8899,6017,4034,1323,10609,8850,5835,3842,963,0
20,11933,9278,5981,4049,899,10486,9250,5946,3973,758,1
21,10107,9134,6100,4157,1109,9585,9010,5957,4117,1004,1
22,9607,8913,6061,4162,1128,10799,8887,5936,3951,936,0
23,9648,8871,5921,3943,843,10859,9114,6017,3865,783,0
24,10368,8938,6117,4092,972,10329,8748,6090,3991,817,0
25,9445,9044,6010,3853,699,10887,8995,5895,3872,1083,0
26,8841,8846,6163,4215,1316,9339,9336,6025,3674,1062,0
27,10460,8882,6108,4080,1120,10448,9253,6124,3760,1222,0
28,9181,8729,5898,3968,874,9373,8749,6094,3771,1200,1
29,9988,8879,5736,4230,1004,9611,9162,5995,4116,925,1
30,9251,9345,5824,3775,1338,9995,9080,5990,4099,1292,0
31,10882,9061,5930,3827,1377,11972,9053,6060,3888,1022,0
32,9620,9416,6014,3728,933,9231,9105,6035,4036,1014,1
33,9432,8878,5687,4087,1157,10105,8758,5955,4082,808,0
34,9599,9222,5733,3973,955,10749,8749,5958,3996,839,0
35,8697,9256,5986,4013,1169,8876,8882,6225,4068,1172,1
36,9066,9246,6006,3950,945,8465,9013,6100,3745,1306,1
37,8256,8582,6080,3965,1186,10611,9112,6117,4010,938,0
38,8927,8905,5778,4106,654,8838,9040,6003,4075,876,1
39,9765,8727,5955,3967,758,11618,8784,5829,3951,1085,0
40,9627,8993,6111,4022,874,10261,9257,6133,3948,793,0
41,11160,8685,6000,3956,983,8670,9180,5865,4087,823,1
42,9145,8796,6080,4006,1454,10468,8715,6234,3751,834,0
43,9316,9041,5968,3914,1068,8317,8617,5917,4146,1030,1
44,9776,8835,5956,3811,1062,9206,9239,5982,4021,1091,0
45,9205,9024,6027,3954,1064,8241,9333,5813,3924,1013,1
46,9225,9058,5868,3907,864,9782,8671,6163,4052,841,0
47,9114,8808,5750,4168,647,10429,8627,6233,3764,1028,1
48,8998,8763,6009,3944,1020,8178,8994,5806,4137,1063,1
49,9581,9054,5906,4057,933,10552,8919,5893,4112,1128,0
50,9603,8947,6089,4052,808,11018,8812,5878,4053,922,0
51,8555,9259,5989,4196,1279,10253,8738,5940,4149,897,0
52,9534,8751,6004,4111,1370,11810,8970,6076,4120,962,0
53,9113,9223,6067,3872,865,9313,9028,6231,4104,1202,1
54,9188,8866,6002,4034,1272,9171,9078,6013,4151,940,0
55,9870,9374,6052,3890,993,10453,8798,6019,4010,840,0
56,10450,8969,6072,3922,1304,9945,8785,6187,3725,771,1
57,11318,9070,5989,3994,1175,11093,8950,5986,3920,864,1
58,9381,8870,6087,3819,922,9921,8894,5865,3962,755,0
59,11285,9255,5930,3889,1446,10528,8987,5889,4080,1138,1
60,9074,9073,6185,4370,1233,10682,8991,6229,3861,1149,0
61,10525,8723,6030,3906,916,9990,8921,6040,3877,799,1
62,12039,8934,6118,4308,1271,10033,9056,6018,4143,934,1
63,9972,9057,5858,4005,707,9653,8830,6021,3835,1043,1
64,9464,8833,6060,4000,962,8942,8907,6048,3991,1559,1
65,9994,9165,6114,3958,1026,9341,9150,6093,3962,1501,1
66,11422,9148,6088,3666,1111,10071,8766,5916,4062,967,1
67,9089,9310,5960,3820,958,9823,9367,5683,3895,1234,0
68,11094,9214,6078,3712,912,9544,9074,6074,3782,706,1
69,11064,8906,6010,4315,1037,10505,9147,5903,3955,978,1
70,10269,8986,6068,3930,1112,8980,9466,6113,4161,856,1
71,10006,8809,6098,3928,1211,10075,8832,5751,3949,724,0
72,9636,9061,5999,4217,718,9923,8950,6175,4100,1415,1
73,9707,9490,5886,4072,994,10450,9190,6032,3884,913,0
74,10519,9183,5943,3771,834,9265,8888,5891,4265,942,1
75,11656,8912,5937,4163,843,9952,8805,5900,3962,1277,1
76,9877,8712,5870,4090,1038,10336,9104,6028,4110,906,0
77,8887,9053,6098,4025,948,9252,9210,5984,3996,1141,0
78,9421,8852,6080,3893,940,8220,9489,6067,4159,1156,1
79,10207,9009,6168,3905,634,9045,8784,5952,4008,748,1
80,9746,9245,5965,3942,888,9964,8838,5973,4109,911,0
81,9858,8854,6030,3837,1157,10993,9301,6055,3834,957,0
82,9864,9011,5991,3966,996,11127,8983,5920,4525,894,0
83,8902,9221,6073,3825,1217,10730,8940,5982,3878,1063,0
84,9861,8881,6209,4203,949,9274,9154,5773,4023,1299,1
85,10680,8800,5982,4150,1042,8694,8874,6078,4209,793,1
86,10558,8818,6108,3773,1116,9204,8736,6260,3687,1168,1
87,10440,8746,5906,3700,1362,11026,8796,6001,4041,1067,0
88,9678,8769,6122,3923,1083,8834,9283,6001,3880,1471,1
89,9847,9248,6017,3876,1261,9550,9027,5915,4060,1117,0
90,9044,8844,6126,4043,1113,9164,8935,6128,4003,1490,1
