"sampleID","a_f1","a_f2","a_f3","a_f4","a_f5","b_f1","b_f2","b_f3","b_f4","b_f5","win"
1,9683,9142,6083,4176,666,10276,8983,6001,3991,1090,1
2,9807,8942,6041,3781,946,11066,9210,5958,4083,926,0
3,11472,8852,5948,4138,1027,10017,9010,5935,3767,1018,1
4,10691,9062,5988,4236,1201,8483,9127,5861,3940,848,1
5,8592,9114,6206,4173,1054,10382,9257,5996,4028,682,0
6,10211,9195,6046,4076,893,11285,8871,6086,3841,1282,1
7,10070,8880,6010,4111,1049,10269,9065,5768,3997,908,0
8,9860,8827,5797,3761,1122,10240,9044,6029,3998,974,0
9,9138,8875,5979,4101,851,9821,8992,6021,4233,908,0
10,9462,9187,6300,4308,1058,11194,8908,6197,3907,925,0
11,10286,8993,5749,3648,1051,10094,8912,6104,3927,622,1
12,10180,9167,5921,4024,1073,8958,9063,5968,4051,845,1
13,9219,9263,6032,4200,1063,9618,8936,5996,4136,960,0
14,9269,8749,5917,4191,1121,10355,9452,6017,4249,1250,0
15,10815,9063,5958,4003,888,9731,9006,6071,4166,994,1
16,10366,9019,6227,4142,857,11097,8818,6301,4031,1311,1
17,10147,8580,6104,3908,1088,11135,9398,6096,4126,950,0
18,8922,8926,6198,3754,1333,11441,8956,5933,4034,805,0
19,7821,8875,6264,3951,890,10358,8885,5979,3999,1192,0
20,9971,9072,6141,3968,1267,9769,9571,6019,3929,1250,0
21,11512,9176,5958,4074,1095,9109,8862,6079,3906,833,1
22,10677,9530,6111,3950,1288,11030,8970,6171,4030,793,0
23,11181,9229,6031,3868,1103,10404,9291,6120,3682,1325,1
24,9795,8895,6090,4175,664,9450,8991,5790,4219,897,1
25,10579,9257,5826,4073,1178,10760,9008,6079,3755,777,1
26,10130,8824,6075,3963,1486,10012,8751,5885,3861,1234,0
27,9620,9023,5934,3805,859,9660,9020,5929,3899,1021,0
28,11220,9215,6185,3970,1176,8561,8966,5899,4064,757,1
29,9867,9111,5912,4142,1052,10327,9030,6169,4340,1307,0
30,9988,8934,5831,3826,915,10545,8834,6054,4131,907,0
31,10240,8737,5823,3921,1183,11082,8944,6075,4058,1234,0
32,10295,9313,5922,3973,999,9826,8933,6073,3855,975,1
33,9875,8737,6254,4196,1188,10259,9282,6022,3970,862,0
34,10679,9166,5756,4112,1142,8924,9146,6115,4133,747,1
35,9471,8831,5963,4051,976,10629,9241,6128,4056,1410,0
36,10211,9291,6200,3783,851,10170,9140,5964,3980,898,0
37,9893,9149,6120,4006,1184,9538,8962,5827,3788,1213,1
38,9379,9087,6166,3962,1078,9127,8802,5982,4187,1016,0
39,9660,9302,6212,4207,885,10446,9266,5988,4064,808,0
40,9047,9478,6021,4088,480,8875,8795,5781,3908,1313,1
41,10416,9026,6097,3959,1004,9632,9112,5881,4184,996,1
42,9401,9069,6001,3878,1178,8941,8758,5875,4059,1092,1
43,9694,8969,6038,3790,1045,9588,8800,5921,4007,913,1
44,11176,9064,5937,3840,795,10162,9267,6193,4139,1025,1
45,10019,8986,5914,3825,1265,9815,8976,6025,4132,775,0
46,10609,8556,5899,4070,1007,9052,9226,6158,4066,1186,1
47,9598,9134,5993,3889,1382,10951,8594,5981,4145,901,0
48,10659,8800,5995,4065,878,9031,8816,6050,4216,1189,1
49,11632,9117,5955,3941,1522,10056,8895,6217,3843,1121,1
50,10059,9073,6092,4056,562,9442,8611,6053,3856,924,1
51,9424,8909,5966,3899,1409,11351,9360,5863,4527,1080,0
52,11217,8909,6096,3895,913,8619,9048,5917,3871,1301,1
53,8849,9172,6011,4047,1283,10923,9298,6006,3987,908,0
54,12218,8896,6128,4042,712,8568,9148,6055,4008,693,1
55,9508,8921,5959,4118,1118,9527,8675,5981,3900,820,0
56,9486,8821,5842,3902,780,10164,9090,5933,3815,1101,0
57,10050,8780,5903,4031,677,9198,9143,5984,4240,1005,1
58,10933,8758,6187,3793,748,12350,8651,6100,3960,1097,0
59,10214,9023,6037,3688,470,11296,9117,5985,4227,688,0
60,9121,9432,6188,3959,1022,10031,8856,6078,4164,697,0
61,10594,9035,6059,4107,1327,10329,8964,6027,4055,652,0
62,10900,9077,5877,3942,946,8435,8910,6088,4233,870,1
63,10984,8880,5904,4002,758,8527,8871,6179,3914,1289,1
64,11393,8858,5897,4150,894,11898,8810,6006,4176,732,0
65,10075,9184,6036,4012,1036,10006,8771,6054,4024,1122,1
66,7396,8515,6026,3817,1147,10003,9087,5994,4138,804,0
67,9460,9031,5837,3798,1006,11156,9138,6032,3766,1191,0
68,9652,9042,5813,3994,962,8700,9115,6239,4215,1189,1
69,10147,8938,6076,4178,996,10867,8960,5832,3689,1191,0
70,9515,8824,6055,3987,920,10089,9270,5902,3788,1070,0
71,9367,8852,6035,3802,651,9373,9269,5936,4006,1054,0
72,10349,8918,5991,4388,779,10292,9249,6068,3810,1357,1
73,9512,8986,6078,3933,766,10023,8869,6030,3956,964,0
74,9895,9058,6058,4098,823,9082,8943,6012,3953,1310,1
75,10311,9105,5876,3992,898,9349,8980,5900,4148,1047,1
76,11576,9048,6132,3848,1091,10389,8370,5881,3821,1195,1
77,10005,8735,5879,4066,1073,10335,9091,5966,4127,1035,0
78,10569,9155,5839,4068,923,11138,9056,6110,4206,1337,1
79,9459,8961,6016,4099,733,9836,8793,5877,4078,1126,0
80,9537,8889,5973,3802,745,8883,9054,6049,4120,1071,1
81,10338,8894,5964,4127,979,9440,8819,5903,4190,882,1
82,9879,9218,5948,3852,876,9205,9107,6097,4226,905,1
83,9220,8970,6104,3835,924,9291,8920,5959,4284,987,0
84,9391,8660,6047,3870,1072,10510,9011,5941,4150,893,0
85,9433,9156,6053,3875,1137,10122,8994,5913,4113,831,0
86,9583,8768,5917,3958,1239,11389,9106,6011,3850,823,0
87,9765,9079,5930,3978,625,10203,8973,6087,4173,1059,0
88,10266,8818,5881,3778,1022,11716,8972,6010,3938,1012,0
89,9327,8594,5895,4043,744,11314,9268,6331,4110,949,0
90,10101,9082,6044,4017,1182,10011,8847,5853,4112,1100,1
91,10264,8653,5996,3947,1259,10194,8839,5955,4108,967,0
92,10638,9181,5969,3980,870,9414,9317,5667,4071,1450,1
93,10694,8964,5789,3913,1046,10333,9114,5936,4268,1512,1
94,11285,8973,6050,3922,936,10037,9313,6051,4036,600,1
95,10864,9084,6155,3936,968,10829,9224,5981,3818,841,1
96,9082,9005,5929,4258,990,11096,8882,6014,3654,1001,0
97,10777,8803,6043,3995,758,9328,8868,5996,4097,895,1
98,11822,9054,5904,4094,961,10616,9170,6082,4125,881,1
99,11635,9102,5856,3805,1036,11112,8693,5857,4169,801,1
100,9122,8859,5986,3774,1214,10194,9039,5905,4051,808,0
101,11845,8615,5697,3909,669,11430,8925,5998,4016,1008,1
102,9273,8614,6049,4233,982,9674,9691,6071,3948,902,0
103,11864,9135,5875,3991,915,10750,9070,5918,3815,919,1
104,10568,9068,5860,3833,827,10307,9344,6014,3970,1200,1
105,8850,8763,6034,3886,1346,9092,8849,5854,4087,915,0
106,10840,8781,5925,4043,749,11242,9337,6021,3853,1316,1
107,9108,8894,6093,4309,1106,9770,9106,5942,3950,940,0
108,11416,9039,5889,3887,842,10774,8987,5881,4021,1139,1
109,9992,8966,6021,3942,988,9917,8921,5972,4092,1034,0
110,9767,8965,6026,3901,1221,11108,8768,5883,4046,880,0
111,11570,9211,5912,3973,702,8765,9056,6061,3984,698,1
112,10145,9302,6118,3753,1473,9576,9078,6225,4246,1237,0
113,9798,8943,5931,4133,495,10253,8787,6042,4091,1000,1
114,8083,8888,5941,4093,669,10336,8928,6041,3877,1236,0
115,10050,8877,5891,4119,1078,10790,9046,6057,4023,997,0
116,10407,9059,6164,4032,958,8837,8867,6240,4132,1130,1
117,11124,9090,6022,4085,889,9248,8997,5881,3916,1253,1
118,11018,8777,5802,3961,1319,10027,9112,6171,4295,1327,1
